time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/n_updates
512,1,422,1,0.8,100.6,,,,,,,,,,
1024,2,434,2,0.8,97.0,-0.0052556885639205575,0.2,0.008615617,-0.4797858549281955,0.0001,0.05029296875,0.036647979170084,0.09581989236176014,-0.4822194576263428,4
1536,3,440,3,0.8666666666666667,98.53333333333333,-0.0005806745612062514,0.2,0.00097369833,-0.4561746306717396,0.0001,0.0,0.017096074298024178,0.05588551104301587,0.04502534866333008,8
2048,4,441,4,0.9,100.55,-0.0015293724718503654,0.2,0.0020734342,-0.4859036384150386,0.0001,0.00146484375,0.011436720378696918,0.036946969135897234,0.2941606044769287,12
2560,5,453,5,0.9166666666666666,102.54166666666667,-0.0013276238751132041,0.2,0.0019509525,-0.4770981213077903,0.0001,0.0,-0.011298488825559616,0.022322945500491187,0.42759615182876587,16
3072,6,453,6,0.896551724137931,104.51724137931035,-0.000992333487374708,0.2,0.00086205755,-0.43536671716719866,0.0001,0.0,-0.004588786978274584,0.013713562919292599,0.35777920484542847,20
3584,7,453,7,0.8529411764705882,102.58823529411765,-0.009147607575869188,0.2,0.017281339,-0.4729872811585665,0.0001,0.11474609375,-0.02287771925330162,0.021804004689329304,0.30566203594207764,24
4096,8,448,9,0.775,100.4,-0.0005672045808751136,0.2,0.0016907653,-0.42320102360099554,0.0001,0.00048828125,0.01862902194261551,0.027913696161704138,0.09810441732406616,28
4608,9,444,10,0.7608695652173914,99.65217391304348,-0.002900204446632415,0.2,0.0038111017,-0.4429418733343482,0.0001,0.00830078125,0.005424533039331436,0.03305716795148328,0.2595232129096985,32
5120,10,445,11,0.7254901960784313,98.90196078431373,-0.002194067172240466,0.2,0.0034332024,-0.4585345536470413,0.0001,0.00732421875,-0.0038887225091457367,0.026198238658253103,0.22300702333450317,36
5632,11,438,12,0.7068965517241379,97.10344827586206,-0.00017030152957886457,0.2,0.0013410604,-0.4342206232249737,0.0001,0.0,0.021270114928483963,0.030709560960531235,-0.03735077381134033,40
6144,12,438,14,0.7142857142857143,97.38095238095238,-0.0016969303251244128,0.2,0.0021616395,-0.4438931941986084,0.0001,0.0,0.00936104916036129,0.033950099255889654,0.17780578136444092,44
6656,13,439,15,0.7058823529411765,97.36764705882354,0.00019535688625182956,0.2,0.00012561353,-0.4513522954657674,0.0001,0.0,-0.0010989215224981308,0.020210923903505318,-0.012961626052856445,48
7168,14,437,16,0.6756756756756757,96.71621621621621,-0.0010042113135568798,0.2,0.0020884632,-0.4562350660562515,0.0001,0.0009765625,0.0013644415885210037,0.024657639965880662,0.13415956497192383,52
7680,15,438,17,0.6835443037974683,96.86075949367088,8.404484833590686e-05,0.2,0.00028649205,-0.43815035838633776,0.0001,0.0,0.011833757162094116,0.029896061751060188,0.2599684000015259,56
8192,16,437,18,0.6705882352941176,96.18823529411765,-0.0001549752923892811,0.2,0.00060706725,-0.4410227704793215,0.0001,0.0,0.0072983503341674805,0.016456795507110655,0.3080654740333557,60
