panel,controller,common_bank_spearman_mean,rank_defined_roots,rank_undefined_roots,native_selected_return_mean,finite_set_regret_mean,selected_raw_prediction_bias_mean,selected_clipped_prediction_bias_mean,common_bank_raw_return_mse_mean,common_bank_clipped_return_mse_mean,reward_prediction_clipping_fraction_mean
full,free-271-rs64,0.9817007166986829,64,0,-1.6442867499115161,0.15626613099527176,0.058339247390649315,0.058339225737399455,0.44689336934385027,0.4467581275414513,0.0001220703125
full,free-271-rs256,0.9817007166986829,64,0,-1.6443032159295714,0.15628259701332703,0.058402283611971625,0.0584022616094758,0.44689336934385027,0.4467581275414513,5.086263020833333e-05
full,free-271-cem256,0.9817007166986829,64,0,-1.6534459675345348,0.16542534861829045,0.09351163031857097,0.09344610700241858,0.44689336934385027,0.4467581275414513,0.0003916422526041667
full,residual-271-rs64,0.9889437375375982,64,0,-1.6195910740949149,0.13157045517867078,0.012172428164904213,0.012172436372184401,0.25054449021421626,0.2505444964341756,0.0
full,residual-271-rs256,0.9889437375375982,64,0,-1.6195910740949149,0.13157045517867078,0.012172428164904213,0.012172436372184401,0.25054449021421626,0.2505444964341756,0.0
full,residual-271-cem256,0.9889437375375982,64,0,-1.5572011919072462,0.06918057299100189,-0.0145144588235202,-0.01451444985954042,0.25054449021421626,0.2505444964341756,0.0
full,residual-283-rs64,0.9879650289429407,64,0,-1.6344122699615307,0.1463916510452864,0.04449347311535324,0.04449347142733107,0.27273697000016295,0.27273696546103365,0.0
full,residual-283-rs256,0.9879650289429407,64,0,-1.6344089067257208,0.14638828780947633,0.044496975356732596,0.04449697390154107,0.27273697000016295,0.27273696546103365,0.0
full,residual-283-cem256,0.9879650289429407,64,0,-1.5662277049676763,0.07820708605143192,0.007483061734891022,0.007483096310241605,0.27273697000016295,0.27273696546103365,0.0
full,free-283-rs64,0.9864225599787078,64,0,-1.638264162662205,0.15024354374596072,-0.06440785856847776,-0.06440784576279236,0.42858532071543953,0.42858762943328244,6.103515625e-05
full,free-283-rs256,0.9864225599787078,64,0,-1.6382784001911184,0.15025778127487416,-0.06437729355784744,-0.06437728121782332,0.42858532071543953,0.42858762943328244,6.612141927083333e-05
full,free-283-cem256,0.9864225599787078,64,0,-1.6135077052713118,0.1254870863550674,-0.06689395243667756,-0.06689394265779053,0.42858532071543953,0.42858762943328244,2.0345052083333332e-05
full,free-293-rs64,0.9853444066399393,64,0,-1.6488643117515829,0.16084369283533848,0.34456116031263867,0.3438882423831607,0.3808261058603407,0.38065737362199653,0.0003865559895833333
full,free-293-rs256,0.9853444066399393,64,0,-1.6488838009016664,0.16086318198542204,0.3445855512462631,0.3439126333167851,0.3808261058603407,0.38065737362199653,0.0002543131510416667
full,free-293-cem256,0.9853444066399393,64,0,-1.605472181424891,0.11745156250864675,0.31021384146476294,0.3095409328485107,0.3808261058603407,0.38065737362199653,0.0015665690104166665
full,residual-293-rs64,0.9883091505408892,64,0,-1.6467356599688974,0.15871504105265316,0.12558342515802728,0.1255834223058519,0.272588722236189,0.2725887177053877,0.0
full,residual-293-rs256,0.9883091505408892,64,0,-1.6467565518283622,0.15873593291211802,0.125622144976292,0.12562214224053195,0.272588722236189,0.2725887177053877,0.0
full,residual-293-cem256,0.9883091505408892,64,0,-1.571781617609426,0.08376099869318177,0.07587485593661258,0.07587487159447337,0.272588722236189,0.2725887177053877,0.0
ordinary,free-271-rs64,0.9802948959569247,64,0,-1.6455293829068922,0.157508763990648,0.0478410858933729,0.046994651537892305,0.4921174097201549,0.4918583002090554,0.0003662109375
ordinary,free-271-rs256,0.9802948959569247,64,0,-1.6455458489249475,0.15752523000870328,0.04790412141620328,0.04705768694430736,0.4921174097201549,0.4918583002090554,0.00014750162760416666
ordinary,free-271-cem256,0.9802948959569247,64,0,-1.6729553292678794,0.18493471035163506,0.10206576035112451,0.10108127936824533,0.4921174097201549,0.4918583002090554,0.0021769205729166665
ordinary,residual-271-rs64,0.9884379282427265,64,0,-1.6267859014317347,0.13876528251549053,-0.0019178992386021144,-0.001917873918269617,0.28693174042559577,0.2869317442351455,0.0
ordinary,residual-271-rs256,0.9884379282427265,64,0,-1.6267859014317347,0.13876528251549053,-0.0019178992386021144,-0.001917873918269617,0.28693174042559577,0.2869317442351455,0.0
ordinary,residual-271-cem256,0.9884379282427265,64,0,-1.5702207675829718,0.08220014866672767,-0.029945787678267468,-0.029945803976412524,0.28693174042559577,0.2869317442351455,0.0
ordinary,residual-283-rs64,0.987407708659058,64,0,-1.6370827835370398,0.14906216462079558,0.047070484931169394,0.047070486269945595,0.29943790929776004,0.2994379030565424,0.0
ordinary,residual-283-rs256,0.987407708659058,64,0,-1.6370794203012298,0.14905880138498553,0.04707396412231502,0.04707396592675251,0.29943790929776004,0.2994379030565424,0.0
ordinary,residual-283-cem256,0.987407708659058,64,0,-1.5720324397781982,0.08401182086195394,0.00258747828156939,0.0025875231014682934,0.29943790929776004,0.2994379030565424,0.0
