panel,controller,mean_episode_cost,setup_seconds,decision_wall_seconds,native_step_seconds,row_wall_seconds
full,free-271-rs64,11.584336162504439,0.05553683312609792,1.758652500808239,0.11041429312899709,1.9571460420265794
full,free-271-rs256,11.585418450541393,0.052840083139017224,6.212840586202219,0.1103703344706446,6.408789457986131
full,free-271-cem256,10.173851317648452,0.04737024987116456,6.292174167232588,0.11395591800101101,6.484244291903451
full,residual-271-rs64,11.210038713064307,0.046490833163261414,1.9547048776876181,0.11125041451305151,2.1438228331971914
full,residual-271-rs256,11.195551384232505,0.04471433302387595,6.738046709448099,0.11209791479632258,6.927046250086278
full,residual-271-cem256,7.981945268583454,0.04464245797134936,6.607143289176747,0.11281525110825896,6.795810499927029
full,residual-283-rs64,10.450696227371811,0.10486358311027288,2.032628877321258,0.11306474753655493,2.281547041144222
full,residual-283-rs256,10.402530471201157,0.04982516705058515,6.822819122578949,0.1123682502657175,7.017518959008157
full,residual-283-cem256,8.231077180051955,0.04618466692045331,6.679234791314229,0.11252062604762614,6.870553124928847
full,free-283-rs64,11.323092254420027,0.05089387483894825,1.8199662941042334,0.11228595627471805,2.016631708946079
full,free-283-rs256,11.32322295155592,0.04933295794762671,6.435324338730425,0.11220387648791075,6.62887491681613
full,free-283-cem256,8.695079206988455,0.04692112491466105,6.678036496043205,0.12149625387974083,6.877777457935736
full,free-293-rs64,11.642624934692606,0.046252124942839146,1.7360193363856524,0.1084949136711657,1.9226914579048753
full,free-293-rs256,11.64274025035782,0.04494299995712936,6.390674796421081,0.11338379117660224,6.58128795796074
full,free-293-cem256,9.154482146569068,0.04814208298921585,6.3138435846194625,0.11386503861285746,6.508138499921188
full,residual-293-rs64,11.642626063212042,0.04669795813970268,2.014801749261096,0.11357750021852553,2.2066137499641627
full,residual-293-rs256,11.642585082220895,0.04481091583147645,6.770916166016832,0.10943699372000992,6.956082790857181
full,residual-293-cem256,8.504948995263812,0.04649991705082357,6.646511628758162,0.11232450441457331,6.836027250159532
full,known_state,7.25932314915093,0.04981904197484255,26.27733795903623,0.10838716989383101,26.49892970896326
full,particle,7.403522867013599,0.4477244580630213,28.757974083535373,0.11431237286888063,29.38784341607243
full,zero,11.642617724742031,0.05834975000470877,0.0001602894626557827,0.09149463172070682,0.18425654200837016
full,uniform,42.437480311529924,0.04751470894552767,0.00018813158385455608,0.0879582951311022,0.16897558397613466
ordinary,free-271-rs64,11.595801427167125,0.04365466721355915,1.8224672079086304,0.10851554200053215,2.0051714170258492
ordinary,free-271-rs256,11.596905194076474,0.04529529204592109,6.344593463232741,0.10954674519598484,6.530919125070795
ordinary,free-271-cem256,10.313631375445606,0.04725608415901661,6.076729161199182,0.11202074983157218,6.26670804200694
ordinary,residual-271-rs64,11.23032639358551,0.04603333305567503,1.974341664230451,0.1120153337251395,2.1645661669317633
ordinary,residual-271-rs256,11.222441594306737,0.06267979089170694,6.798781621735543,0.10884458804503083,7.000950874993578
ordinary,residual-271-cem256,8.026592996483817,0.04645529203116894,6.805082292528823,0.11111112590879202,6.99449195782654
ordinary,residual-283-rs64,10.668849558637415,0.04713537497445941,1.9775749971158803,0.11096733110025525,2.1683894169982523
ordinary,residual-283-rs256,10.63473325775458,0.04748091707006097,6.997681958135217,0.11177574540488422,7.188399042002857
ordinary,residual-283-cem256,8.31687860408934,0.04483029106631875,6.979578796075657,0.11108650313690305,7.166362083051354
ordinary,free-283-rs64,11.382122812068832,0.04454720905050635,1.8256113324314356,0.10904912860132754,2.010574874933809
ordinary,free-283-rs256,11.380549872261346,0.04807554208673537,6.301846121670678,0.1098523277323693,6.4907857498619705
ordinary,free-283-cem256,8.804995891543836,0.04195199999958277,6.160277504473925,0.11093403957784176,6.346950624836609
ordinary,free-293-rs64,11.642624934692606,0.05092541594058275,1.889898246154189,0.11424345360137522,2.087821416091174
ordinary,free-293-rs256,11.64274025035782,0.0534275418613106,6.232699043117464,0.11017362214624882,6.426906917011365
ordinary,free-293-cem256,9.268433485280031,0.046846959041431546,6.292152877198532,0.113453209400177,6.483578749932349
ordinary,residual-293-rs64,11.642626063212042,0.04932387499138713,1.9892001231200993,0.11294349911622703,2.1857751251664013
ordinary,residual-293-rs256,11.642585082220895,0.04457029094919562,6.675642257323489,0.11110717081464827,6.864290624856949
ordinary,residual-293-cem256,8.621930198465922,0.05432350002229214,6.66467971005477,0.11097466899082065,6.861608291044831
ordinary,known_state,7.25932314915093,0.05117304204031825,27.119214788544923,0.11145770945586264,27.34692250005901
ordinary,particle,7.450230168719935,0.48623183416202664,29.091604789718986,0.11028358479961753,29.750916209071875
ordinary,zero,11.642617724742031,0.10357004194520414,0.0003500799648463726,0.1253262951504439,0.26232666708528996
ordinary,uniform,42.437480311529924,0.04726887517608702,0.00017204508185386658,0.09087766823358834,0.17156391707248986
shift,free-271-rs64,11.601915748067974,0.04754070891067386,1.8615665412507951,0.11031924514099956,2.0508742090314627
shift,free-271-rs256,11.603025585618227,0.045499791856855154,6.535933587467298,0.1120596679393202,6.724998082965612
shift,free-271-cem256,10.40287684693047,0.045641208067536354,6.510616871761158,0.11643487447872758,6.705365792149678
shift,residual-271-rs64,11.184076616851666,0.04557945812121034,2.129962582141161,0.14517908287234604,2.351972792064771
shift,residual-271-rs256,11.184037748241034,0.04680870892480016,6.88810279360041,0.11150870961137116,7.077525708824396
shift,residual-271-cem256,8.067491262269144,0.04769383301027119,7.151869834167883,0.11491495999507606,7.346505541121587
