family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_agreement,episode_weighted_raw_gap,episode_weighted_centered_mse,episode_weighted_first_argmin_match,evidence_scope,eligible_for_continuation
innovation_spo,295000002,lambda3,full,18,18,6,6,1.0,5198,0.6291652149946194,0.14463222305260695,0.39952435359111005,0.5430076677556953,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.5537858348133583,0.16582745081505268,0.4212042471666081,0.5537519181127749,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000002,lambda4,initial,18,18,6,6,1.0,52,0.6111111111111112,0.05172742737664117,0.20380583950632183,0.4259259259259259,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000002,lambda4,full,18,18,6,6,1.0,8369,0.7113125463849165,0.08672078235806285,0.3698663230267245,0.6344512635821347,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000002,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5592390762823638,0.11323562487518639,0.3688031031361517,0.5451127704893914,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000002,lambda3,initial,18,18,6,6,1.0,54,0.7407407407407407,0.02474693015769676,0.017176812240684833,0.6111111111111112,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000002,lambda3,full,18,18,6,6,1.0,5198,0.645718729986386,0.09812284664268565,0.09787315049348365,0.595777544628534,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.5873646700480543,0.1124299182969559,0.10846356666983054,0.5873646700480543,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000002,lambda4,initial,18,18,6,6,1.0,52,0.5740740740740741,0.049069872608891243,0.04747567706774052,0.5,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000002,lambda4,full,18,18,6,6,1.0,8369,0.6771018840024077,0.05220684912221498,0.08734733286736354,0.6629760122439948,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_aux,295000002,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5241240417632484,0.07011476368095582,0.08612179700232213,0.523988374960915,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000002,lambda3,initial,18,18,6,6,1.0,54,0.8518518518518519,0.012349111062509043,0.11952486639734583,0.6111111111111112,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000002,lambda3,full,18,18,6,6,1.0,5198,0.681517979649334,0.12899430710914836,0.3326279198229366,0.6008188964746263,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000002,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.5878747365605362,0.1554703679382988,0.3577393213636427,0.5877729864587862,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000002,lambda4,initial,18,18,6,6,1.0,52,0.7962962962962963,0.06963507334391277,0.13869655084564228,0.7592592592592592,Descriptive saved-output arithmetic only; original training parent unverified,False
gru_spo,295000002,lambda4,full,18,18,6,6,1.0,8369,0.7004143587638659,0.1235652862366359,0.3295359109904044,0.6867239294331018,Descriptive saved-output arithmetic only; original training parent unverified,False
