time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss
1,7.20909090909091,2,83.9090909090909,1024,396,,,,,,,,,,
2,7.1433333333333335,5,82.04166666666667,2048,378,0.3099692761898041,0.2,0.9200963227078318,-0.6846073281019927,0.07905387878417969,0.011638222,0.0003,0.02109375,10,-0.004029391071526334
3,7.011081081081082,8,81.24324324324324,3072,360,0.3635966181755066,0.2,0.9461280286312104,-0.6859731543809175,0.5284194946289062,0.0053088227,0.0003,0.0095703125,20,-0.0021494844520930203
4,7.052291666666666,11,82.97916666666667,4096,371,0.41678768396377563,0.2,0.7817875891923904,-0.6877575293183327,0.7094345092773438,0.013697685,0.0003,0.06015625,30,-0.006759028701344505
5,7.269666666666666,13,84.03333333333333,5120,376,0.28320133686065674,0.2,0.7868361741304397,-0.6886802621185779,0.7850474119186401,0.006859469,0.0003,0.01455078125,40,-0.004355592140927911
6,7.2654794520547945,16,83.15068493150685,6144,378,0.3424525856971741,0.2,0.6188492828980088,-0.6788383942097426,0.8621435761451721,0.010211746,0.0003,0.02724609375,50,-0.0035106763330986722
7,7.339764705882353,18,83.56470588235294,7168,381,0.3478171229362488,0.2,0.827930742688477,-0.6603011135011911,0.8493035435676575,0.00575163,0.0003,0.02001953125,60,-0.005773877332103439
8,7.333092783505156,21,83.98969072164948,8192,384,0.4626951217651367,0.2,0.8519283987581729,-0.6611647963523865,0.8624494075775146,0.0052842563,0.0003,0.00439453125,70,-0.0012523903074907138
9,7.3294999999999995,23,84.0,9216,387,0.3018950819969177,0.2,0.7301606783643365,-0.6584646802395582,0.8734815716743469,0.0028114133,0.0003,0.033984375,80,-0.003691939535201527
10,7.428000000000001,26,84.94,10240,388,0.28098300099372864,0.2,0.7139151096343994,-0.6558283910155296,0.869853138923645,0.0071195844,0.0003,0.01689453125,90,-0.004847090484690853
11,7.392800000000001,28,85.01,11264,389,0.3483596742153168,0.2,0.5881374187767505,-0.6492893926799297,0.8908700346946716,0.012412554,0.0003,0.10146484375,100,-0.011123171477811411
12,7.4773000000000005,31,86.15,12288,392,0.20752450823783875,0.2,0.4901905428618193,-0.6411992393434047,0.9098666906356812,0.0021336658,0.0003,0.00869140625,110,-0.001815846562385559
13,7.517900000000001,33,86.17,13312,394,0.21625572443008423,0.2,0.3745217082090676,-0.6350836902856827,0.9224703311920166,0.011571928,0.0003,0.11943359375,120,-0.012067827075952664
14,7.5833,36,87.99,14336,395,0.26633742451667786,0.2,0.5015728529542685,-0.6535150401294232,0.8978293538093567,0.0035907908,0.0003,0.0515625,130,-0.006766382374917157
15,7.693400000000001,38,88.94,15360,393,0.17274387180805206,0.2,0.352694442588836,-0.653134797886014,0.9375478029251099,0.004645592,0.0003,0.06181640625,140,-0.0064157930901274085
