configuration,variant,mapping_policy,seed,split,positions,mean_signed_bounded_loss,mean_cp_loss,p95_cp_loss,max_cp_loss
node_local-learned-97,node_local,learned,97,dev,128,0.08040340965787135,158.6171875,480.19999999999976,9219
node_local-learned-97,node_local,learned,97,shift,128,0.11121257834361069,270.9140625,1136.9999999999998,9019
node_local-learned-109,node_local,learned,109,dev,128,0.09526201361057525,174.5859375,541.3999999999995,9219
node_local-learned-109,node_local,learned,109,shift,128,0.09527399414899644,313.40625,911.5499999999994,9019
node_local-learned-127,node_local,learned,127,dev,128,0.10852110966855842,185.703125,637.9999999999997,9219
node_local-learned-127,node_local,learned,127,shift,128,0.12355535750485595,416.328125,1070.8499999999983,9259
direct-97,direct,unchanged,97,dev,128,0.10078568474287651,176.0,569.2999999999989,9219
direct-97,direct,unchanged,97,shift,128,0.09453960922514731,328.625,1283.099999999998,9239
direct-109,direct,unchanged,109,dev,128,0.10409267833674647,178.8828125,594.1499999999995,9219
direct-109,direct,unchanged,109,shift,128,0.09498603748848711,246.703125,830.549999999999,9019
direct-127,direct,unchanged,127,dev,128,0.08728162116568694,167.921875,559.4999999999987,9219
direct-127,direct,unchanged,127,shift,128,0.1407563365805589,429.7109375,1283.099999999998,9259
