family,seed,scope,collector,partition,regime,case,age,declared_case_count,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_case_count,supported_cases,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
hold,,full,all,regime,lambda4,,2,6,0.3543660392549068,0.11931189787273445,0.3543660392549068,0.32865290993090607,18,671,5,"[{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.4252392471058881,0.14317427744728134,0.39438349191708727,15,0.8333333333333334,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,regime,lambda4,,3,6,0.25424823714297395,0.22226963488954132,0.25424823714297395,0.3792936169849993,18,669,5,"[{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.3268905906123951,0.28577524485798167,0.4876632218378562,14,0.7777777777777778,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic"",""valid:lambda4:254000003:analytic""]"
hold,,full,all,case,lambda3,0,all,1,0.242296918767507,0.10811734598782918,0.242296918767507,0.1859187725879231,3,45,1,"[{""case"":0,""regime"":""lambda3""}]",0.242296918767507,0.10811734598782918,0.1859187725879231,3,1.0,[],[]
hold,,full,all,case,lambda3,0,1,1,0.38888888888888884,0.06619783379177235,0.38888888888888884,0.05990670786963569,3,17,1,"[{""case"":0,""regime"":""lambda3""}]",0.38888888888888884,0.06619783379177235,0.05990670786963569,3,1.0,[],[]
hold,,full,all,case,lambda3,0,2,1,0.1818181818181818,0.09505642576637457,0.1818181818181818,0.18835495457504736,3,14,1,"[{""case"":0,""regime"":""lambda3""}]",0.1818181818181818,0.09505642576637457,0.18835495457504736,3,1.0,[],[]
hold,,full,all,case,lambda3,0,3,1,0.0909090909090909,0.17759406093624533,0.0909090909090909,0.36342531262022076,3,14,1,"[{""case"":0,""regime"":""lambda3""}]",0.0909090909090909,0.17759406093624533,0.36342531262022076,3,1.0,[],[]
hold,,full,all,case,lambda3,1,all,1,0.1286549707602339,0.19680552091747172,0.1286549707602339,0.4795670676649662,3,31,1,"[{""case"":1,""regime"":""lambda3""}]",0.1286549707602339,0.19680552091747172,0.4795670676649662,3,1.0,[],[]
hold,,full,all,case,lambda3,1,1,1,0.21428571428571427,0.0897609032089,0.21428571428571427,0.20543531009129115,3,11,1,"[{""case"":1,""regime"":""lambda3""}]",0.21428571428571427,0.0897609032089,0.20543531009129115,3,1.0,[],[]
hold,,full,all,case,lambda3,1,2,1,0.0,0.1961236353010594,0.0,0.5277708371480306,3,10,1,"[{""case"":1,""regime"":""lambda3""}]",0.0,0.1961236353010594,0.5277708371480306,3,1.0,[],[]
hold,,full,all,case,lambda3,1,3,1,0.16666666666666666,0.3086086242765273,0.16666666666666666,0.713944779502021,3,10,1,"[{""case"":1,""regime"":""lambda3""}]",0.16666666666666666,0.3086086242765273,0.713944779502021,3,1.0,[],[]
