rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,train/loss,train/n_updates
9.155,4,0.97796630859375,0,95.0,380,399,,,
9.254999999999999,8,0.9540771484375,1,99.0,792,414,,,
8.806666666666665,12,0.933782958984375,2,95.16666666666667,1142,415,,,
9.01125,16,0.907574462890625,3,99.625,1594,436,,,
8.995500000000002,20,0.8857147216796875,4,98.55,1971,438,,,
8.529583333333333,24,0.8675079345703125,5,95.20833333333333,2285,429,0.0003,0.03779016435146332,59
8.397499999999999,28,0.84761962890625,6,93.85714285714286,2628,426,0.0003,0.02533092349767685,144
8.088750000000001,32,0.8302825927734375,6,91.46875,2927,421,0.0003,0.049381837248802185,219
8.039166666666667,36,0.8097564697265625,7,91.13888888888889,3281,420,0.0003,0.020839767530560493,308
7.782000000000001,40,0.794158935546875,8,88.75,3550,415,0.0003,0.022669043391942978,375
7.884318181818182,44,0.771893310546875,9,89.4090909090909,3934,416,0.0003,0.022729985415935516,471
7.825,48,0.7514251708984375,10,89.3125,4287,415,0.0003,0.019751913845539093,559
7.791730769230771,52,0.7318267822265625,11,88.9423076923077,4625,414,0.0003,0.02411973476409912,644
7.800178571428572,56,0.707647705078125,12,90.03571428571429,5042,408,0.0003,0.0253891758620739,748
7.839166666666667,60,0.6868316650390625,13,90.01666666666667,5401,407,0.0003,0.03197791054844856,838
7.811406250000001,64,0.6647979736328125,14,90.328125,5781,408,0.0003,0.018121834844350815,933
7.787500000000001,68,0.643865966796875,15,90.32352941176471,6142,408,0.0003,0.022444846108555794,1023
7.8204166666666675,72,0.6213104248046875,15,90.70833333333333,6531,409,0.0003,0.06038229539990425,1120
7.810789473684211,76,0.600146484375,16,90.73684210526316,6896,409,0.0003,0.026508556678891182,1211
7.827000000000001,80,0.5768951416015625,17,91.2125,7297,409,0.0003,0.06231849640607834,1312
7.806190476190476,84,0.5568328857421876,18,90.98809523809524,7643,409,0.0003,0.04541279003024101,1398
7.687159090909091,88,0.540191650390625,19,90.11363636363636,7930,407,0.0003,0.02309424988925457,1470
7.697282608695652,92,0.518157958984375,20,90.32608695652173,8310,407,0.0003,0.03802482411265373,1565
7.695208333333333,96,0.494964599609375,21,90.72916666666667,8710,408,0.0003,0.021936379373073578,1665
7.7446,100,0.4726409912109375,22,90.95,9095,407,0.0003,0.04641938954591751,1761
7.7057,104,0.45054931640625007,23,90.96,9476,407,0.0003,0.031549498438835144,1856
7.5986,108,0.4322265625,24,90.0,9792,407,0.0003,0.029843615368008614,1935
7.6082,112,0.4099029541015625,24,90.35,10177,407,0.0003,0.03334145247936249,2032
7.498599999999999,116,0.38949279785156254,25,89.35,10529,407,0.0003,0.020210295915603638,2120
7.4166,120,0.3716339111328125,26,88.66,10837,406,0.0003,0.020149171352386475,2197
7.3858,124,0.3547607421875,27,88.43,11128,405,0.0003,0.03084198199212551,2269
7.419100000000001,128,0.331915283203125,28,88.94,11522,406,0.0003,0.029352281242609024,2368
7.439300000000002,132,0.3133026123046875,29,89.16,11843,404,0.0003,0.021552888676524162,2448
7.372200000000001,136,0.29561767578125,30,88.67,12148,402,0.0003,0.056839682161808014,2524
7.428000000000002,140,0.27630920410156257,30,89.31,12481,402,0.0003,0.031215570867061615,2608
7.347300000000001,144,0.254217529296875,31,89.28,12862,403,0.0003,0.018596507608890533,2703
7.3069,148,0.23479309082031252,32,89.1,13197,403,0.0003,0.031685274094343185,2787
7.3006,152,0.2144409179687501,33,89.23,13548,403,0.0003,0.02075815573334694,2874
7.2924,156,0.19287109375,34,88.78,13920,403,0.0003,0.05312866345047951,2967
7.1953,160,0.17431640625,35,88.39,14240,403,0.0003,0.029725078493356705,3047
7.1765,164,0.1552978515625001,36,87.87,14568,403,0.0003,0.040723904967308044,3129
7.1183000000000005,168,0.1393524169921876,36,87.01,14843,402,0.0003,0.03391215577721596,3198
6.9925,172,0.12247924804687504,37,86.03,15134,401,0.0003,0.0344153493642807,3271
6.9155000000000015,176,0.10427246093750009,38,85.52,15448,401,0.0003,0.026238087564706802,3349
6.818,180,0.0864715576171875,39,84.58,15755,401,0.0003,0.04421767219901085,3426
6.741700000000001,184,0.06832275390625009,40,84.25,16068,400,0.0003,0.03664962947368622,3504
6.8219,188,0.05,41,85.46,16476,401,0.0003,0.030455967411398888,3606
6.7524000000000015,192,0.05,41,84.89,16799,401,0.0003,0.03971234709024429,3687
6.723800000000001,196,0.05,42,84.49,17159,401,0.0003,0.05800316855311394,3777
6.546199999999999,200,0.05,43,83.29,17424,400,0.0003,0.014084964990615845,3843
6.448300000000001,204,0.05,44,82.01,17677,399,0.0003,0.041864458471536636,3907
6.351,208,0.05,45,81.65,17957,398,0.0003,0.03173959255218506,3977
6.3325,212,0.05,45,81.36,18313,398,0.0003,0.02456926740705967,4066
6.283900000000001,216,0.05,46,80.97,18626,398,0.0003,0.027810323983430862,4144
6.2462,220,0.05,47,80.91,18928,398,0.0003,0.03646020591259003,4219
6.216600000000002,224,0.05,48,80.76,19204,397,0.0003,0.026633266359567642,4288
6.196500000000001,228,0.05,49,80.3,19552,398,0.0003,0.025768492370843887,4375
6.215900000000001,232,0.05,50,80.87,19930,398,0.0003,0.026572225615382195,4470
6.235000000000001,236,0.05,50,81.34,20282,398,0.0003,0.02994493767619133,4558
6.2471000000000005,240,0.05,51,81.71,20652,398,0.0003,0.037851572036743164,4650
6.290200000000002,244,0.05,52,81.73,21035,398,0.0003,0.04527314752340317,4746
6.292700000000001,248,0.05,53,81.46,21343,398,0.0003,0.008638564497232437,4823
6.290300000000002,252,0.05,54,81.57,21705,398,0.0003,0.030103156343102455,4914
6.211500000000001,256,0.05,55,81.09,22029,398,0.0003,0.03210880979895592,4995
6.220199999999998,260,0.05,56,81.83,22423,399,0.0003,0.023735472932457924,5093
6.1973,264,0.05,57,82.28,22796,399,0.0003,0.04097995162010193,5186
6.2071000000000005,268,0.05,57,82.52,23095,399,0.0003,0.05213434249162674,5261
6.2642999999999995,272,0.05,58,83.18,23452,399,0.0003,0.03086846135556698,5350
6.322199999999999,276,0.05,59,83.58,23806,399,0.0003,0.01661066897213459,5439
6.400600000000001,280,0.05,60,84.48,24203,400,0.0003,0.030403558164834976,5538
6.4396,284,0.05,61,84.87,24555,400,0.0003,0.031229034066200256,5626
6.459600000000002,288,0.05,62,84.3,24906,400,0.0003,0.021184932440519333,5714
6.5077,292,0.05,62,84.44,25243,400,0.0003,0.02589990198612213,5798
6.5053,296,0.05,63,84.61,25620,400,0.0003,0.02140814997255802,5892
6.6005,300,0.05,64,85.28,25952,400,0.0003,0.02016707882285118,5975
6.657900000000001,304,0.05,65,86.35,26312,401,0.0003,0.03326013311743736,6065
6.765199999999998,308,0.05,66,87.61,26718,401,0.0003,0.0399087518453598,6167
6.745300000000001,312,0.05,67,87.3,27043,400,0.0003,0.022611182183027267,6248
6.826399999999999,316,0.05,68,87.78,27404,401,0.0003,0.029743721708655357,6338
6.915800000000001,320,0.05,69,88.4,27768,401,0.0003,0.02241959422826767,6429
7.053499999999999,324,0.05,70,89.56,28160,401,0.0003,0.020626019686460495,6527
7.0415,328,0.05,70,89.93,28545,402,0.0003,0.06679601967334747,6624
7.080100000000001,332,0.05,71,89.58,28888,401,0.0003,0.03508773446083069,6709
