arm,condition,size,fit_count,episodes_per_fit,assigned_episode_observations,mean_success,mean_wrong_goal,mean_timeout,mean_native_return,mean_episode_length,intact_minus_condition_success_percentage_points
gru,cue_swapped,11,3,128,384,0.34375,0.3229166666666667,0.3333333333333333,0.319580078125,49.333333333333336,0.0
gru,cue_swapped,17,3,128,384,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3235677083333333,53.333333333333336,0.0
gru,cue_swapped,23,3,128,384,0.328125,0.3385416666666667,0.3333333333333333,0.27736816406250003,57.333333333333336,0.0
gru,intact,11,3,128,384,0.34375,0.3229166666666667,0.3333333333333333,0.319580078125,49.333333333333336,0.0
gru,intact,17,3,128,384,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3235677083333333,53.333333333333336,0.0
gru,intact,23,3,128,384,0.328125,0.3385416666666667,0.3333333333333333,0.27736816406250003,57.333333333333336,0.0
gru,native_start,11,3,128,384,0.34375,0.3229166666666667,0.3333333333333333,0.32840576171875,46.979166666666664,0.0
gru,native_start,17,3,128,384,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3385091145833334,49.385416666666664,0.0
gru,native_start,23,3,128,384,0.328125,0.3385416666666667,0.3333333333333333,0.30179443359374997,50.807291666666664,0.0
gru,reset_all,11,3,128,384,0.34375,0.3229166666666667,0.3333333333333333,0.319580078125,49.333333333333336,0.0
gru,reset_all,17,3,128,384,0.3645833333333333,0.3020833333333333,0.3333333333333333,0.3235677083333333,53.333333333333336,0.0
gru,reset_all,23,3,128,384,0.328125,0.3385416666666667,0.3333333333333333,0.27736816406250003,57.333333333333336,0.0
feedforward,cue_swapped,11,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,cue_swapped,17,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,cue_swapped,23,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,intact,11,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,intact,17,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,intact,23,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,native_start,11,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,native_start,17,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,native_start,23,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
feedforward,reset_all,11,3,128,384,0.0,0.0,1.0,0.0,128.0,0.0
