fit_id,L,B,L_minus_B,maximum_within_group_centered_score_spread,groups_with_nonzero_score_spread,saved_L_difference
short@30101,0.2784233297002781,0.16706750268731238,0.11135582701296573,0.0,0,0.0
long@30101,0.2456339342414269,0.16706750268731238,0.07856643155411452,0.0,0,5.551115123125783e-17
short@30102,0.2787843836021116,0.16706750268731238,0.11171688091479923,0.0,0,0.0
long@30102,0.25029641208283204,0.16706750268731238,0.08322890939551966,0.0,0,0.0
short@30103,0.2818911364195195,0.16706750268731238,0.11482363373220714,0.0,0,0.0
long@30103,0.24768897020741798,0.16706750268731238,0.0806214675201056,0.0,0,0.0
