group,candidate_gate,name,value,threshold,passes
control_competence_checks,False,lambda3.neighbor_free.10103.success,0.11171989925558608,0.95,False
control_competence_checks,False,lambda3.neighbor_free.10103.moves,1944.4871824023971,34.179062965203094,False
control_competence_checks,False,lambda3.cnn.10101.success,0.058365186950492004,0.95,False
control_competence_checks,False,lambda3.cnn.10101.moves,2060.397586580338,34.179062965203094,False
control_competence_checks,False,lambda3.cnn.10102.success,0.27721901712773284,0.95,False
control_competence_checks,False,lambda3.cnn.10102.moves,1585.2228401830662,34.179062965203094,False
control_competence_checks,False,lambda3.cnn.10103.success,0.27613569517736125,0.95,False
control_competence_checks,False,lambda3.cnn.10103.moves,1588.7449798637056,34.179062965203094,False
control_competence_checks,False,lambda3.dense128.10101.success,0.021125220531963307,0.95,False
control_competence_checks,False,lambda3.dense128.10101.moves,2141.7991426965964,34.179062965203094,False
control_competence_checks,False,lambda3.dense128.10102.success,0.15221901712773284,0.95,False
control_competence_checks,False,lambda3.dense128.10102.moves,1855.3369885923576,34.179062965203094,False
control_competence_checks,False,lambda3.dense128.10103.success,0.15722949177313075,0.95,False
control_competence_checks,False,lambda3.dense128.10103.moves,1845.2100787786164,34.179062965203094,False
control_competence_checks,False,lambda3.statistics.10101.success,0.021125220531963307,0.95,False
control_competence_checks,False,lambda3.statistics.10101.moves,2141.8474869342563,34.179062965203094,False
control_competence_checks,False,lambda3.statistics.10102.success,0.11890620340423048,0.95,False
control_competence_checks,False,lambda3.statistics.10102.moves,1928.017269325338,34.179062965203094,False
control_competence_checks,False,lambda3.statistics.10103.success,0.03723996641852869,0.95,False
control_competence_checks,False,lambda3.statistics.10103.moves,2106.9751768357287,34.179062965203094,False
control_competence_checks,False,lambda4.neighbor_free.10101.success,0.20709098778378324,0.95,False
control_competence_checks,False,lambda4.neighbor_free.10101.moves,1736.2655956682713,43.85583603616834,False
control_competence_checks,False,lambda4.neighbor_free.10102.success,0.17255868700178076,0.95,False
control_competence_checks,False,lambda4.neighbor_free.10102.moves,1811.3046947258374,43.85583603616834,False
control_competence_checks,False,lambda4.neighbor_free.10103.success,0.1595323007820025,0.95,False
control_competence_checks,False,lambda4.neighbor_free.10103.moves,1839.8122244158412,43.85583603616834,False
control_competence_checks,False,lambda4.cnn.10101.success,0.18331164428289287,0.95,False
control_competence_checks,False,lambda4.cnn.10101.moves,1788.0822182606732,43.85583603616834,False
control_competence_checks,False,lambda4.cnn.10102.success,0.15312147224081646,0.95,False
control_competence_checks,False,lambda4.cnn.10102.moves,1853.8329111645526,43.85583603616834,False
control_competence_checks,False,lambda4.cnn.10103.success,0.2737793435008904,0.95,False
control_competence_checks,False,lambda4.cnn.10103.moves,1593.4081435517082,43.85583603616834,False
control_competence_checks,False,lambda4.dense128.10101.success,0.13575295728111214,0.95,False
control_competence_checks,False,lambda4.dense128.10101.moves,1892.6918270217016,43.85583603616834,False
control_competence_checks,False,lambda4.dense128.10102.success,0.1293421287399261,0.95,False
control_competence_checks,False,lambda4.dense128.10102.moves,1906.184392298172,43.85583603616834,False
control_competence_checks,False,lambda4.dense128.10103.success,0.01509508602103821,0.95,False
control_competence_checks,False,lambda4.dense128.10103.moves,2154.9870468719896,43.85583603616834,False
control_competence_checks,False,lambda4.statistics.10101.success,0.26075295728111214,0.95,False
control_competence_checks,False,lambda4.statistics.10101.moves,1622.1741509606964,43.85583603616834,False
control_competence_checks,False,lambda4.statistics.10102.success,0.023779343500890372,0.95,False
control_competence_checks,False,lambda4.statistics.10102.moves,2136.016286407252,43.85583603616834,False
control_competence_checks,False,lambda4.statistics.10103.success,0.04528525806311463,0.95,False
control_competence_checks,False,lambda4.statistics.10103.moves,2089.202661992305,43.85583603616834,False
control_competence_checks,False,lambda5.neighbor_free.10101.success,0.27996416032935073,0.95,False
control_competence_checks,False,lambda5.neighbor_free.10101.moves,1584.201361168758,55.132419232990124,False
control_competence_checks,False,lambda5.neighbor_free.10102.success,0.14058094570168017,0.95,False
control_competence_checks,False,lambda5.neighbor_free.10102.moves,1883.7144605343601,55.132419232990124,False
control_competence_checks,False,lambda5.neighbor_free.10103.success,0.24610476357457994,0.95,False
control_competence_checks,False,lambda5.neighbor_free.10103.moves,1652.7378609028,55.132419232990124,False
control_competence_checks,False,lambda5.cnn.10101.success,0.011685709276260142,0.95,False
control_competence_checks,False,lambda5.cnn.10101.moves,2162.6770679983442,55.132419232990124,False
control_competence_checks,False,lambda5.cnn.10102.success,0.044347374957021235,0.95,False
control_competence_checks,False,lambda5.cnn.10102.moves,2091.7916716225004,55.132419232990124,False
control_competence_checks,False,lambda5.cnn.10103.success,0.06142809493610215,0.95,False
control_competence_checks,False,lambda5.cnn.10103.moves,2054.8988058002237,55.132419232990124,False
control_competence_checks,False,lambda5.dense128.10101.success,0.01827845105309057,0.95,False
control_competence_checks,False,lambda5.dense128.10101.moves,2148.0328180197416,55.132419232990124,False
control_competence_checks,False,lambda5.dense128.10102.success,0.13938321462767053,0.95,False
control_competence_checks,False,lambda5.dense128.10102.moves,1883.8889454489552,55.132419232990124,False
control_competence_checks,False,lambda5.dense128.10103.success,0.01827845105309057,0.95,False
control_competence_checks,False,lambda5.dense128.10103.moves,2148.0328180197416,55.132419232990124,False
control_competence_checks,False,lambda5.statistics.10101.success,0.18373058958469177,0.95,False
control_competence_checks,False,lambda5.statistics.10101.moves,1791.4393935728042,55.132419232990124,False
control_competence_checks,False,lambda5.statistics.10102.success,0.13938321462767053,0.95,False
control_competence_checks,False,lambda5.statistics.10102.moves,1885.4705441530518,55.132419232990124,False
control_competence_checks,False,lambda5.statistics.10103.success,0.04045213853160119,0.95,False
control_competence_checks,False,lambda5.statistics.10103.moves,2099.915322546706,55.132419232990124,False
