recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,error
recording_2021_12_15_21H_54M.mat,chain_memory,8103,0.001,64,PASS,0.7092024947205193,21.80687405457304,null
recording_2021_12_15_21H_54M.mat,chain_memory,8103,0.001,128,PASS,0.8326787402517185,25.536109856056864,null
recording_2021_12_15_21H_54M.mat,rewired_memory,8103,0.001,64,PASS,0.7069702063997119,21.861096513611,null
recording_2021_12_15_21H_54M.mat,rewired_memory,8103,0.001,128,PASS,0.8306934972092194,25.70930888461503,null
recording_2021_12_15_21H_54M.mat,chain_instant,8103,0.001,64,PASS,0.7501831356027662,21.937930186247932,null
recording_2021_12_15_21H_54M.mat,chain_instant,8103,0.001,128,PASS,0.8884931352675317,26.582751856622345,null
recording_2021_12_15_21H_54M.mat,gru_residual,8103,0.001,64,PASS,0.6664389108027676,20.25309535370529,null
recording_2021_12_15_21H_54M.mat,gru_residual,8103,0.001,128,PASS,0.7613360829562614,23.382153780523034,null
recording_2021_12_15_21H_54M.mat,quadratic_ar2,8103,0.001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_21H_54M.mat,quadratic_ar2,8103,0.001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_21H_54M.mat,linear_frozen,,,64,PASS,0.7300262060516359,21.221134171642312,null
recording_2021_12_15_21H_54M.mat,linear_frozen,,,128,PASS,1.0877737441922855,30.807745145679764,null
recording_2021_12_15_21H_54M.mat,quadratic_frozen,,,64,FAILED,,,"{""type"": ""NonfiniteReference""}"
recording_2021_12_15_21H_54M.mat,quadratic_frozen,,,128,FAILED,,,"{""type"": ""NonfiniteReference""}"
recording_2021_12_15_21H_54M.mat,persistence,,,64,PASS,1.1373568827339755,32.675368891449345,null
recording_2021_12_15_21H_54M.mat,persistence,,,128,PASS,1.2329376342156586,35.41623169008753,null
recording_2021_12_15_21H_54M.mat,velocity,,,64,PASS,2.0168961416524906,58.14560520101767,null
recording_2021_12_15_21H_54M.mat,velocity,,,128,PASS,3.530338702904925,103.58429071740517,null
recording_2021_12_15_21H_54M.mat,direct_ridge_1,,,64,PASS,0.5608433011761175,16.213989357520184,null
recording_2021_12_15_21H_54M.mat,direct_ridge_1,,,128,PASS,0.7103087092062792,21.18472223555406,null
recording_2021_12_15_21H_54M.mat,direct_ridge_100,,,64,PASS,0.5044352550204649,15.321057935773354,null
recording_2021_12_15_21H_54M.mat,direct_ridge_100,,,128,PASS,0.5951238707680219,18.141740962969717,null
recording_2021_12_15_22H_10M.mat,chain_memory,8101,0.0001,64,PASS,0.7226677948163713,21.749302799197636,null
recording_2021_12_15_22H_10M.mat,chain_memory,8101,0.0001,128,PASS,0.8831136078547878,27.267215303636725,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8101,0.0001,64,PASS,0.72266970772891,21.700647672482187,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8101,0.0001,128,PASS,0.88234957895109,27.2078437182368,null
recording_2021_12_15_22H_10M.mat,chain_instant,8101,0.0001,64,PASS,0.7237207066255554,21.756616482622036,null
recording_2021_12_15_22H_10M.mat,chain_instant,8101,0.0001,128,PASS,0.8814252552827029,27.17605817480619,null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.0001,64,PASS,0.7024985172181331,21.173626311003385,null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.0001,128,PASS,0.8496100443236123,26.140718435955893,null
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8101,0.0001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8101,0.0001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,chain_memory,8101,0.001,64,PASS,0.7601535106532599,24.20397733941432,null
recording_2021_12_15_22H_10M.mat,chain_memory,8101,0.001,128,PASS,0.9055507093908705,29.56954493205577,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8101,0.001,64,PASS,0.7555445038301838,24.005990836414686,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8101,0.001,128,PASS,0.8909923666511954,29.0998122927641,null
recording_2021_12_15_22H_10M.mat,chain_instant,8101,0.001,64,PASS,0.7672051009379903,23.904782496674102,null
recording_2021_12_15_22H_10M.mat,chain_instant,8101,0.001,128,PASS,0.8936268154111421,28.95722995927688,null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.001,64,PASS,0.7564789670031862,23.093513144762138,null
recording_2021_12_15_22H_10M.mat,gru_residual,8101,0.001,128,PASS,0.908798424232159,29.203420580564185,null
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8101,0.001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8101,0.001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,chain_memory,8102,0.0001,64,PASS,0.6933478209827799,20.667814664304228,null
recording_2021_12_15_22H_10M.mat,chain_memory,8102,0.0001,128,PASS,0.8384594679428806,25.363211583364663,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8102,0.0001,64,PASS,0.6940501478965039,20.642003306028556,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8102,0.0001,128,PASS,0.838426563652172,25.354188231873742,null
recording_2021_12_15_22H_10M.mat,chain_instant,8102,0.0001,64,PASS,0.697453686862774,20.783987952611305,null
recording_2021_12_15_22H_10M.mat,chain_instant,8102,0.0001,128,PASS,0.8406228371109141,25.428055684149935,null
recording_2021_12_15_22H_10M.mat,gru_residual,8102,0.0001,64,PASS,0.6751800967929621,19.55819060394932,null
recording_2021_12_15_22H_10M.mat,gru_residual,8102,0.0001,128,PASS,0.8283009420862485,24.215295891006548,null
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8102,0.0001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,quadratic_ar2,8102,0.0001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_22H_10M.mat,chain_memory,8102,0.001,64,PASS,0.7460073503910394,23.285415707036165,null
recording_2021_12_15_22H_10M.mat,chain_memory,8102,0.001,128,PASS,0.8060688881148111,25.361026951019692,null
recording_2021_12_15_22H_10M.mat,rewired_memory,8102,0.001,64,PASS,0.7452842421724959,23.287251021582662,null
