family,seed,regime,scope,metric,raw_value,display_value,episodes,supported_episodes,supported_cases,weight_mass
gru_shared_aux,285000001,lambda3,postcorrection,episode_weighted_raw_gap,0.0881578105492182,0.0881578105492182,18,15,6,0.8333333333333334
gru_shared_aux,285000001,lambda3,prior,episode_weighted_centered_mse,0.08430128740160128,0.08430128740160128,18,17,6,0.9444444444444444
gru_shared_aux,285000001,lambda4,initial,episode_weighted_agreement,0.7962962962962963,79.62962962962963,18,16,6,0.8888888888888888
gru_shared_aux,285000001,lambda4,full,episode_weighted_agreement,0.6225220295843622,62.25220295843622,18,16,6,0.8888888888888888
gru_shared_aux,285000001,lambda4,postcorrection,episode_weighted_raw_gap,0.10870308976486505,0.10870308976486505,18,14,6,0.7777777777777778
gru_shared_aux,285000001,lambda4,prior,episode_weighted_centered_mse,0.08686499113643803,0.08686499113643803,18,14,6,0.7777777777777778
gru_separate_mse,285000001,lambda3,initial,episode_weighted_agreement,0.8518518518518519,85.18518518518519,18,18,6,1.0
gru_separate_mse,285000001,lambda3,full,episode_weighted_agreement,0.7743480739803223,77.43480739803223,18,18,6,1.0
gru_separate_mse,285000001,lambda3,postcorrection,episode_weighted_raw_gap,0.08565018116164624,0.08565018116164624,18,15,6,0.8333333333333334
gru_separate_mse,285000001,lambda3,prior,episode_weighted_centered_mse,196.43252724032496,196.43252724032496,18,17,6,0.9444444444444444
gru_separate_mse,285000001,lambda4,initial,episode_weighted_agreement,0.6481481481481481,64.81481481481481,18,16,6,0.8888888888888888
gru_separate_mse,285000001,lambda4,full,episode_weighted_agreement,0.5979503699445289,59.795036994452886,18,16,6,0.8888888888888888
gru_separate_mse,285000001,lambda4,postcorrection,episode_weighted_raw_gap,0.09428082053397084,0.09428082053397084,18,14,6,0.7777777777777778
gru_separate_mse,285000001,lambda4,prior,episode_weighted_centered_mse,112.38436312652539,112.38436312652539,18,14,6,0.7777777777777778
gru_separate_aux,285000001,lambda3,initial,episode_weighted_agreement,0.9629629629629629,96.29629629629629,18,18,6,1.0
gru_separate_aux,285000001,lambda3,full,episode_weighted_agreement,0.7703765994704943,77.03765994704943,18,18,6,1.0
gru_separate_aux,285000001,lambda3,postcorrection,episode_weighted_raw_gap,0.12807003154006236,0.12807003154006236,18,15,6,0.8333333333333334
gru_separate_aux,285000001,lambda3,prior,episode_weighted_centered_mse,0.08954818604952418,0.08954818604952418,18,17,6,0.9444444444444444
gru_separate_aux,285000001,lambda4,initial,episode_weighted_agreement,0.6111111111111112,61.111111111111114,18,16,6,0.8888888888888888
gru_separate_aux,285000001,lambda4,full,episode_weighted_agreement,0.5658238457832216,56.58238457832216,18,16,6,0.8888888888888888
gru_separate_aux,285000001,lambda4,postcorrection,episode_weighted_raw_gap,0.10076081763240864,0.10076081763240864,18,14,6,0.7777777777777778
gru_separate_aux,285000001,lambda4,prior,episode_weighted_centered_mse,0.08793081407530268,0.08793081407530268,18,14,6,0.7777777777777778
innovation_shared_mse,285000002,lambda3,initial,episode_weighted_agreement,0.8703703703703703,87.03703703703704,18,18,6,1.0
innovation_shared_mse,285000002,lambda3,full,episode_weighted_agreement,0.7190122961348735,71.90122961348735,18,18,6,1.0
innovation_shared_mse,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.12485990423243441,0.12485990423243441,18,15,6,0.8333333333333334
innovation_shared_mse,285000002,lambda3,prior,episode_weighted_centered_mse,0.14010412268638012,0.14010412268638012,18,17,6,0.9444444444444444
innovation_shared_mse,285000002,lambda4,initial,episode_weighted_agreement,0.6481481481481481,64.81481481481481,18,16,6,0.8888888888888888
innovation_shared_mse,285000002,lambda4,full,episode_weighted_agreement,0.5662694168508461,56.62694168508461,18,16,6,0.8888888888888888
innovation_shared_mse,285000002,lambda4,postcorrection,episode_weighted_raw_gap,0.14326679803739328,0.14326679803739328,18,14,6,0.7777777777777778
innovation_shared_mse,285000002,lambda4,prior,episode_weighted_centered_mse,0.13394876599136243,0.13394876599136243,18,14,6,0.7777777777777778
innovation_shared_aux,285000002,lambda3,initial,episode_weighted_agreement,0.8333333333333334,83.33333333333334,18,18,6,1.0
innovation_shared_aux,285000002,lambda3,full,episode_weighted_agreement,0.6707405431501416,67.07405431501417,18,18,6,1.0
innovation_shared_aux,285000002,lambda3,postcorrection,episode_weighted_raw_gap,0.12628319411550784,0.12628319411550784,18,15,6,0.8333333333333334
innovation_shared_aux,285000002,lambda3,prior,episode_weighted_centered_mse,0.0832812513036185,0.0832812513036185,18,17,6,0.9444444444444444
