regime,arm,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,paid_controller_seconds,queries,setup_allocation_seconds,steps,update_seconds,success_percent,query_fraction,raw_episodes,raw_found,raw_queries,raw_steps
lambda3,analytic,0.007826299952154819,0.009815102023880671,0.04045028429170636,1.0,0.00010404771259535797,0.009815102023880671,0.0,0.0011369144976924872,27.56884831563244,0.000747839861438007,100.0,0.0,24,24,0,481
lambda3,neural,1.1488868043225218,1.1595780211706301,0.06007726940051515,1.0,6.781462783957509e-05,1.1595780211706301,34.6854720936416,0.009474599990519495,34.6854720936416,0.0011488022297491884,100.0,1.0,24,24,521,521
lambda3,period2,0.5304206383967426,0.5432702966173892,0.05008504537520261,1.0,0.0002544104336356576,0.5432702966173892,15.229417813612612,0.009487579331685899,30.228209524565408,0.0031076684553251535,100.0,0.5038147496376256,24,24,241,469
lambda3,random_pair,0.5857820794585318,0.5988105136370658,0.055209868918606464,1.0,0.0002536120595716667,0.5988105136370658,16.669716624179305,0.009487579331685899,33.245579418181364,0.003287242787276613,100.0,0.501411523453941,24,24,250,501
lambda3,entropy,0.3383337535875335,0.35086600286099745,0.04657762987050112,1.0,0.0002441915272655529,0.5237433412064287,9.472890325102874,0.009487579331685899,29.213006274850194,0.0028004784145125154,100.0,0.3242696159367272,24,24,121,481
lambda4,analytic,0.023240001769141354,0.026483547927075593,0.11412077730097722,1.0,0.00011539536029420796,0.026483547927075593,0.0,0.0011369144976924872,74.51084854123071,0.0019912362999475464,100.0,0.0,24,24,0,923
lambda4,neural,2.0326578301622233,2.0442720198081057,0.10716144041375136,1.0,7.289067413387894e-05,2.0442720198081057,59.85343438802529,0.009474599990519495,59.85343438802529,0.0020666989812288586,100.0,1.0,24,24,813,813
lambda4,period2,1.1939155547004936,1.2105028148752695,0.11491937043356769,1.0,0.00026183908130186903,1.2105028148752695,33.29351204531223,0.009487579331685899,66.20333983314458,0.006837841761787943,100.0,0.5028977711581235,24,24,422,833
lambda4,random_pair,1.137146527290621,1.1534603438464381,0.10912996986252076,1.0,0.0002566961517558915,1.1534603438464381,31.39307436496394,0.009487579331685899,62.64832707284551,0.00656954107237528,100.0,0.5010999627884885,24,24,393,785
lambda4,entropy,1.128198086202472,1.1453442277429902,0.12315501093134416,1.0,0.00025358756144716756,1.3182215660884216,31.465455640222725,0.009487579331685899,71.47775296312679,0.007404974647384859,100.0,0.4402132738623555,24,24,361,911
lambda5,analytic,0.019953827788295443,0.023083945151567222,0.09999062740981868,1.0,0.00010618712172078394,0.023083945151567222,0.0,0.0011369144976924872,61.544839033393615,0.001887015743858503,100.0,0.0,24,24,0,907
lambda5,neural,1.9790656059692415,1.9907108795769293,0.10638635410193972,1.0,7.935405338005728e-05,1.9907108795769293,55.71262580115051,0.009474599990519495,55.71262580115051,0.002091319563788091,100.0,1.0,24,24,833,833
lambda5,period2,1.122771621869891,1.1393081909700717,0.11312756682592516,1.0,0.00027246785989955,1.1393081909700717,29.304733968860784,0.009487579331685897,58.123851152349246,0.006776521908595253,100.0,0.5041774312588085,24,24,432,853
lambda5,random_pair,1.2200636140449765,1.2371211798438424,0.12090834609193687,1.0,0.00029992938414784477,1.2371211798438424,32.31845256805457,0.009487579331685897,64.47440215494916,0.007270057083032137,100.0,0.5012602131677735,24,24,459,921
lambda5,entropy,0.817789463313973,0.834272804136899,0.11026005232652093,1.0,0.0002794727064535776,1.0071501424823304,21.687584970738733,0.009487579331685897,61.25957020298822,0.006716288784786673,100.0,0.35402770373470266,24,24,313,893
