arm,seed,value_head,reward_condition,group,entropy_nats,raw_advantage_std,normalization_divisor,norm_actor_normalized,norm_actor_raw,norm_actor_centered_raw,norm_entropy_weighted,norm_critic_weighted,cosine_actor_normalized__actor_raw,cosine_actor_normalized__actor_centered_raw,cosine_actor_normalized__entropy_weighted,cosine_actor_normalized__critic_weighted,cosine_actor_raw__actor_centered_raw,cosine_actor_raw__entropy_weighted,cosine_actor_raw__critic_weighted,cosine_actor_centered_raw__entropy_weighted,cosine_actor_centered_raw__critic_weighted,cosine_entropy_weighted__critic_weighted,actor_to_entropy_norm_ratio
gru,101,original,actual,all,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.05072359484059048,0.0023415617595549175,0.002192772750926781,4.365846792195171e-06,0.07997093953527094,0.9892445112180986,0.9999999999999811,-0.6506729741221359,-0.017099552909509506,0.989244509715404,-0.5904931255333076,-0.017716339550942647,-0.6506729906323263,-0.01709955150889071,0.010913873171992768,11618.271839330026
gru,101,original,actual,shared_trunk,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.0021646207443572294,9.992237817364212e-05,9.357619743427806e-05,1.8731353129979032e-07,0.07823289165970192,0.9879752041308123,0.999999999999953,-0.5941582666427462,-0.4095960685184492,0.9879752090257717,-0.5248777996875214,-0.42438464879701937,-0.5941582217325532,-0.40959605731334675,0.26002856408965225,11556.136544630144
gru,101,original,actual,actor_head,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.05067738638273955,0.00233942877475465,0.002190775167031237,4.36182666481749e-06,0.0,0.9892468269455277,0.9999999999999811,-0.6507766557619514,,0.989246825431031,-0.5906134949000672,,-0.6507766723794883,,,11618.386120545216
gru,101,original,actual,value_head,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.0,0.0,0.0,0.0,0.016582093737381398,,,,,,,,,,,
gru,101,original,synthetic_all_zero,all,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.05072359484059048,0.0023415617595549175,0.002192772750926781,4.365846792195171e-06,0.07997093953527094,0.9892445112180986,0.9999999999999811,-0.6506729741221359,-0.017099552909509506,0.989244509715404,-0.5904931255333076,-0.017716339550942647,-0.6506729906323263,-0.01709955150889071,0.010913873171992768,11618.271839330026
gru,101,original,synthetic_all_zero,shared_trunk,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.0021646207443572294,9.992237817364212e-05,9.357619743427806e-05,1.8731353129979032e-07,0.07823289165970192,0.9879752041308123,0.999999999999953,-0.5941582666427462,-0.4095960685184492,0.9879752090257717,-0.5248777996875214,-0.42438464879701937,-0.5941582217325532,-0.40959605731334675,0.26002856408965225,11556.136544630144
gru,101,original,synthetic_all_zero,actor_head,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.05067738638273955,0.00233942877475465,0.002190775167031237,4.36182666481749e-06,0.0,0.9892468269455277,0.9999999999999811,-0.6507766557619514,,0.989246825431031,-0.5906134949000672,,-0.6507766723794883,,,11618.386120545216
gru,101,original,synthetic_all_zero,value_head,1.9459095001220703,0.043229821066446954,0.043229833245277405,0.0,0.0,0.0,0.0,0.016582093737381398,,,,,,,,,,,
gru,101,zero,actual,all,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,4.365846792195171e-06,0.0,,,,,,,,,,,0.0
gru,101,zero,actual,shared_trunk,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,1.8731353129979032e-07,0.0,,,,,,,,,,,0.0
gru,101,zero,actual,actor_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,4.36182666481749e-06,0.0,,,,,,,,,,,0.0
gru,101,zero,actual,value_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
gru,101,zero,synthetic_all_zero,all,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,4.365846792195171e-06,0.0,,,,,,,,,,,0.0
gru,101,zero,synthetic_all_zero,shared_trunk,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,1.8731353129979032e-07,0.0,,,,,,,,,,,0.0
gru,101,zero,synthetic_all_zero,actor_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,4.36182666481749e-06,0.0,,,,,,,,,,,0.0
gru,101,zero,synthetic_all_zero,value_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
gru,113,original,actual,all,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.042163210883145064,0.003062484574508326,0.003029154901861837,3.4387223017125594e-06,0.1154667876022811,0.9899727995187877,0.9999999999999724,-0.3998729577503211,0.004155363592438271,0.9899727948321472,-0.3586706038497634,0.0030781338659583834,-0.39987288705173624,0.004155365229834473,0.011671707513927876,12261.30149042476
gru,113,original,actual,shared_trunk,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.001981108901587351,0.0001436594403258759,0.00014232991673466335,1.7103966578177632e-07,0.11281120979778132,0.9913787676198836,0.9999999999999378,-0.16946941362474446,0.09051888263649656,0.9913787639745146,-0.13670829901857326,0.06716330665186744,-0.16946937647638532,0.09051890995004983,0.24018146455587977,11582.745397286852
gru,113,original,actual,actor_head,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.04211664231033397,0.0030591132267875766,0.0030258092494861435,3.4344659702819276e-06,0.0,0.9899696967183875,0.9999999999999726,-0.4004142157851224,,0.9899696920294928,-0.3591911520297598,,-0.40041414505280704,,,12262.937724456973
gru,113,original,actual,value_head,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.0,0.0,0.0,0.0,0.02462133187200205,,,,,,,,,,,
gru,113,original,synthetic_all_zero,all,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.042163210883145064,0.003062484574508326,0.003029154901861837,3.4387223017125594e-06,0.1154667876022811,0.9899727995187877,0.9999999999999724,-0.3998729577503211,0.004155363592438271,0.9899727948321472,-0.3586706038497634,0.0030781338659583834,-0.39987288705173624,0.004155365229834473,0.011671707513927876,12261.30149042476
gru,113,original,synthetic_all_zero,shared_trunk,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.001981108901587351,0.0001436594403258759,0.00014232991673466335,1.7103966578177632e-07,0.11281120979778132,0.9913787676198836,0.9999999999999378,-0.16946941362474446,0.09051888263649656,0.9913787639745146,-0.13670829901857326,0.06716330665186744,-0.16946937647638532,0.09051890995004983,0.24018146455587977,11582.745397286852
gru,113,original,synthetic_all_zero,actor_head,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.04211664231033397,0.0030591132267875766,0.0030258092494861435,3.4344659702819276e-06,0.0,0.9899696967183875,0.9999999999999726,-0.4004142157851224,,0.9899696920294928,-0.3591911520297598,,-0.40041414505280704,,,12262.937724456973
gru,113,original,synthetic_all_zero,value_head,1.9459095001220703,0.07184355205978166,0.07184355705976486,0.0,0.0,0.0,0.0,0.02462133187200205,,,,,,,,,,,
gru,113,zero,actual,all,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.4387223017125594e-06,0.0,,,,,,,,,,,0.0
gru,113,zero,actual,shared_trunk,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,1.7103966578177632e-07,0.0,,,,,,,,,,,0.0
gru,113,zero,actual,actor_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.4344659702819276e-06,0.0,,,,,,,,,,,0.0
gru,113,zero,actual,value_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
gru,113,zero,synthetic_all_zero,all,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.4387223017125594e-06,0.0,,,,,,,,,,,0.0
gru,113,zero,synthetic_all_zero,shared_trunk,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,1.7103966578177632e-07,0.0,,,,,,,,,,,0.0
gru,113,zero,synthetic_all_zero,actor_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.4344659702819276e-06,0.0,,,,,,,,,,,0.0
gru,113,zero,synthetic_all_zero,value_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
gru,127,original,actual,all,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.059982268291109524,0.0025473974459627666,0.0025955172016233104,8.845557286479353e-06,0.08463170987680231,0.9694975620863496,0.9999999999999688,0.2227930287824086,0.008343307146369116,0.9694975679890995,0.24064163135738034,0.007257595323188566,0.22279301810292004,0.00834330614414584,0.0019319046953944435,6781.0615372752
gru,127,original,actual,shared_trunk,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.0025404436824208593,0.00010789279320752264,0.00010992856674431556,3.8421872220019465e-07,0.08239767084221472,0.9720887897076355,0.999999999999929,0.11306644587124465,0.20233439952436902,0.9720887868558419,0.18941779939887707,0.17600102656454472,0.11306644788287043,0.20233439038312193,0.04568257268954487,6611.9726489985505
gru,127,original,actual,actor_head,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.059928446127386716,0.0025451115678632842,0.0025931882411687817,8.837208817375475e-06,0.0,0.9694929054996275,0.9999999999999688,0.22299539284854147,,0.9694929114184622,0.24073618346864467,,0.22299538213124162,,,6781.377170759739
gru,127,original,actual,value_head,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.0,0.0,0.0,0.0,0.019317094927790532,,,,,,,,,,,
gru,127,original,synthetic_all_zero,all,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.059982268291109524,0.0025473974459627666,0.0025955172016233104,8.845557286479353e-06,0.08463170987680231,0.9694975620863496,0.9999999999999688,0.2227930287824086,0.008343307146369116,0.9694975679890995,0.24064163135738034,0.007257595323188566,0.22279301810292004,0.00834330614414584,0.0019319046953944435,6781.0615372752
gru,127,original,synthetic_all_zero,shared_trunk,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.0025404436824208593,0.00010789279320752264,0.00010992856674431556,3.8421872220019465e-07,0.08239767084221472,0.9720887897076355,0.999999999999929,0.11306644587124465,0.20233439952436902,0.9720887868558419,0.18941779939887707,0.17600102656454472,0.11306644788287043,0.20233439038312193,0.04568257268954487,6611.9726489985505
gru,127,original,synthetic_all_zero,actor_head,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.059928446127386716,0.0025451115678632842,0.0025931882411687817,8.837208817375475e-06,0.0,0.9694929054996275,0.9999999999999688,0.22299539284854147,,0.9694929114184622,0.24073618346864467,,0.22299538213124162,,,6781.377170759739
gru,127,original,synthetic_all_zero,value_head,1.9459089040756226,0.043271395662451924,0.04327140748500824,0.0,0.0,0.0,0.0,0.019317094927790532,,,,,,,,,,,
gru,127,zero,actual,all,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.845557286479353e-06,0.0,,,,,,,,,,,0.0
gru,127,zero,actual,shared_trunk,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.8421872220019465e-07,0.0,,,,,,,,,,,0.0
gru,127,zero,actual,actor_head,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.837208817375475e-06,0.0,,,,,,,,,,,0.0
gru,127,zero,actual,value_head,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
gru,127,zero,synthetic_all_zero,all,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.845557286479353e-06,0.0,,,,,,,,,,,0.0
gru,127,zero,synthetic_all_zero,shared_trunk,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.8421872220019465e-07,0.0,,,,,,,,,,,0.0
gru,127,zero,synthetic_all_zero,actor_head,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,8.837208817375475e-06,0.0,,,,,,,,,,,0.0
gru,127,zero,synthetic_all_zero,value_head,1.9459089040756226,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
feedforward,101,original,actual,all,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.08012773063520942,0.004812178616989086,0.003569250266294522,6.369660517671366e-06,0.3757507553579541,0.9375802529073363,0.9999999999999735,-0.8316336381660346,-0.013289845543210537,0.9375802379247294,-0.7295889452162915,-0.012802314015363232,-0.8316336455909965,-0.0132898483204687,0.01557006441509395,12579.59202266916
feedforward,101,original,actual,shared_trunk,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.0030632324973513237,0.0001898520934371395,0.00013645019563158196,2.3752400067374502e-07,0.3661539451630089,0.9203193937582466,0.9999999999999479,-0.738497254500381,-0.35674587502068505,0.9203193795188036,-0.6424034047039912,-0.33300516415597825,-0.738497274318591,-0.3567459132300961,0.42848472126466025,12896.517777834488
feedforward,101,original,actual,actor_head,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.08006915650496045,0.004808432096268445,0.003566641110001904,6.365230354000182e-06,0.0,0.9376070291520318,0.9999999999999736,-0.8317669681887552,,0.9376070141664722,-0.7297191108367476,,-0.8317669756126441,,,12579.145145099355
feedforward,101,original,actual,value_head,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.0,0.0,0.0,0.0,0.08437961005857576,,,,,,,,,,,
feedforward,101,original,synthetic_all_zero,all,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.08012773063520942,0.004812178616989086,0.003569250266294522,6.369660517671366e-06,0.3757507553579541,0.9375802529073363,0.9999999999999735,-0.8316336381660346,-0.013289845543210537,0.9375802379247294,-0.7295889452162915,-0.012802314015363232,-0.8316336455909965,-0.0132898483204687,0.01557006441509395,12579.59202266916
feedforward,101,original,synthetic_all_zero,shared_trunk,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.0030632324973513237,0.0001898520934371395,0.00013645019563158196,2.3752400067374502e-07,0.3661539451630089,0.9203193937582466,0.9999999999999479,-0.738497254500381,-0.35674587502068505,0.9203193795188036,-0.6424034047039912,-0.33300516415597825,-0.738497274318591,-0.3567459132300961,0.42848472126466025,12896.517777834488
feedforward,101,original,synthetic_all_zero,actor_head,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.08006915650496045,0.004808432096268445,0.003566641110001904,6.365230354000182e-06,0.0,0.9376070291520318,0.9999999999999736,-0.8317669681887552,,0.9376070141664722,-0.7297191108367476,,-0.8317669756126441,,,12579.145145099355
feedforward,101,original,synthetic_all_zero,value_head,1.9459095001220703,0.0445444976375375,0.044544510543346405,0.0,0.0,0.0,0.0,0.08437961005857576,,,,,,,,,,,
feedforward,101,zero,actual,all,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,6.369660517671366e-06,0.0,,,,,,,,,,,0.0
feedforward,101,zero,actual,shared_trunk,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,2.3752400067374502e-07,0.0,,,,,,,,,,,0.0
feedforward,101,zero,actual,actor_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,6.365230354000182e-06,0.0,,,,,,,,,,,0.0
feedforward,101,zero,actual,value_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
feedforward,101,zero,synthetic_all_zero,all,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,6.369660517671366e-06,0.0,,,,,,,,,,,0.0
feedforward,101,zero,synthetic_all_zero,shared_trunk,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,2.3752400067374502e-07,0.0,,,,,,,,,,,0.0
feedforward,101,zero,synthetic_all_zero,actor_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,6.365230354000182e-06,0.0,,,,,,,,,,,0.0
feedforward,101,zero,synthetic_all_zero,value_head,1.9459095001220703,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
feedforward,113,original,actual,all,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.058221822385466866,0.004214458770048626,0.004210457317589947,7.3007798707117945e-06,0.05789231299923569,0.999963662104858,0.9999999999999639,-0.2538226811409839,0.0037025815925574423,0.9999636624357859,-0.25510737713510906,0.0036525042479641622,-0.2538227387302858,0.003702581125484347,0.0013643137925785356,7974.740153313305
feedforward,113,original,actual,shared_trunk,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.0023809687885625146,0.00017219892805270219,0.0001721857360477419,3.162475013170671e-07,0.05651718902380023,0.999966951265612,0.9999999999999357,-0.16745827695065743,0.09274213264930348,0.9999669517350266,-0.1669012190422035,0.0915677290988314,-0.16745833817564937,0.0927421220349865,0.032262407248662535,7528.814547614006
feedforward,113,original,actual,actor_head,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.05817311741270825,0.0042109393552528475,0.004206935095238386,7.293927216424717e-06,0.0,0.9999636572390159,0.9999999999999648,-0.25397668942274565,,0.9999636575696956,-0.2552645429796658,,-0.25397674700426465,,,7975.554963273012
feedforward,113,original,actual,value_head,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.0,0.0,0.0,0.0,0.012543015955084693,,,,,,,,,,,
feedforward,113,original,synthetic_all_zero,all,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.058221822385466866,0.004214458770048626,0.004210457317589947,7.3007798707117945e-06,0.05789231299923569,0.999963662104858,0.9999999999999639,-0.2538226811409839,0.0037025815925574423,0.9999636624357859,-0.25510737713510906,0.0036525042479641622,-0.2538227387302858,0.003702581125484347,0.0013643137925785356,7974.740153313305
feedforward,113,original,synthetic_all_zero,shared_trunk,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.0023809687885625146,0.00017219892805270219,0.0001721857360477419,3.162475013170671e-07,0.05651718902380023,0.999966951265612,0.9999999999999357,-0.16745827695065743,0.09274213264930348,0.9999669517350266,-0.1669012190422035,0.0915677290988314,-0.16745833817564937,0.0927421220349865,0.032262407248662535,7528.814547614006
feedforward,113,original,synthetic_all_zero,actor_head,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.05817311741270825,0.0042109393552528475,0.004206935095238386,7.293927216424717e-06,0.0,0.9999636572390159,0.9999999999999648,-0.25397668942274565,,0.9999636575696956,-0.2552645429796658,,-0.25397674700426465,,,7975.554963273012
feedforward,113,original,synthetic_all_zero,value_head,1.9459092617034912,0.07231750340814715,0.07231751084327698,0.0,0.0,0.0,0.0,0.012543015955084693,,,,,,,,,,,
feedforward,113,zero,actual,all,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,7.3007798707117945e-06,0.0,,,,,,,,,,,0.0
feedforward,113,zero,actual,shared_trunk,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.162475013170671e-07,0.0,,,,,,,,,,,0.0
feedforward,113,zero,actual,actor_head,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,7.293927216424717e-06,0.0,,,,,,,,,,,0.0
feedforward,113,zero,actual,value_head,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
feedforward,113,zero,synthetic_all_zero,all,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,7.3007798707117945e-06,0.0,,,,,,,,,,,0.0
feedforward,113,zero,synthetic_all_zero,shared_trunk,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,3.162475013170671e-07,0.0,,,,,,,,,,,0.0
feedforward,113,zero,synthetic_all_zero,actor_head,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,7.293927216424717e-06,0.0,,,,,,,,,,,0.0
feedforward,113,zero,synthetic_all_zero,value_head,1.9459092617034912,0.0,9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
feedforward,127,original,actual,all,1.9459091424942017,0.0587675974583402,0.05876760929822922,0.041298833852279435,0.002679839940392211,0.0024270336345915706,8.386002326638936e-06,0.17847303221890792,0.8318650923850233,0.9999999999999521,0.24938135920151702,-0.0006903591679563178,0.8318650997232406,0.29315361024025693,-0.0019757199797300192,0.2493812984876717,-0.0006903587735396471,0.007955000954371808,4924.734366110268
