panel,arm,mean_cost,batch_latency_seconds.mean,batch_latency_seconds.median,batch_latency_seconds.p95,decision_wall_seconds,episode_costs_json,on_policy_prediction.all_angle.components,on_policy_prediction.all_angle.mse,on_policy_prediction.all_angle.targets,on_policy_prediction.blackout_angle.components,on_policy_prediction.blackout_angle.mse,on_policy_prediction.blackout_angle.targets,on_policy_prediction.mean_reward_prediction_bias,on_policy_prediction.observed_angle.components,on_policy_prediction.observed_angle.mse,on_policy_prediction.observed_angle.targets,on_policy_prediction.reward_mse,per_case_amortized_seconds,planner_used,setup_seconds
full,free-271,11.543373631780213,0.02802782837767154,0.029648229596205056,0.038604687608312815,1.401391418883577,"[16.6791012093793,14.564641484598011,8.240856786504608,16.958125663221836,2.6460151273165184,9.224359698601752,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,5.895602385674129,19.136121913424677,12.334397985198189,12.738037004902226,7.81870138798276,9.714726667995324,11.081021303756994,3.6505813777962155,19.602260185349248,2.8211980048463157,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,18.62772595441288,15.603167143985383,16.997096074802098,14.2536145993761,9.98609532661684,7.166879791803986,12.584027631238092,8.792132789024688,18.435635195876362,17.005661811327393,14.655395370973272,18.023585375650413,13.545049287205485,17.977408746375975,5.55493847298301,10.84894721234695,13.236694670583109,5.220354448200313,1.7679475473027977,13.431662870986544,8.453343305693426,9.819930187684715,19.763824924096532,8.21648889940506,14.372736315844465,14.73645227294183,7.572706000846851,17.246018085903074,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697216692727979,10.545070345918035]",12800,0.00029485925567388903,3200,0,,0,0.01531531670831499,12800,0.00029485925567388903,3200,0.001029824198985213,0.00043793481840111783,True,0.06302729109302163
full,residual-271,11.246180069214168,0.03250330911017954,0.03451197943650186,0.04218599987216294,1.6251654555089772,"[16.507421735547542,14.564641484598011,8.240856786504608,16.958125663221836,2.382401093276024,9.28826555778345,10.779385423437118,12.864808453586434,6.1667500787827505,10.308863712105804,12.309649200967696,11.594169762920842,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.1372066380623,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,13.520311478452449,7.595001220266173,2.7648770582909057,8.693369322127833,8.05998035383754,12.982145305173777,18.62772595441288,15.515415892426017,16.997096074802098,14.2536145993761,9.98609532661684,5.6832668507100115,12.007127359121203,8.792132789024688,18.435635195876362,17.204648491221224,11.860822656270894,14.101503704383877,11.131284153757322,17.951760880947855,5.55493847298301,10.84894721234695,12.959037105604851,5.234541466147172,1.7679475473027977,9.378898460145544,9.499637506965101,9.819930187684715,19.763824924096532,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,17.195805518016176,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.69459517068262,10.545070345918035]",12800,0.00015087788767290328,3200,0,,0,2.8423951947449537e-05,12800,0.00015087788767290328,3200,0.0009880309072575573,0.0005078642048465553,True,0.051503165857866406
full,residual-283,10.65952911635989,0.030871795755811036,0.03405808296520263,0.0395903623662889,1.5435897877905518,"[14.096450785707516,12.967487616760312,8.240856786504608,11.375992984782938,2.382401093276024,9.28826555778345,9.52303687794916,12.206264389665971,6.1667500787827505,8.939651729756648,12.39295493089996,15.496182173848888,6.201893461804846,5.222673609993335,8.239496434027355,8.152327798465418,19.1372066380623,12.334397985198189,12.735995124539013,7.81870138798276,6.636445741381515,11.081021303756994,3.6505813777962155,13.560919425861014,7.595001220266173,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,16.560345714160274,14.889631229417716,13.18158472428905,13.390298039510094,8.864219621415206,5.6832668507100115,12.584027631238092,8.792132789024688,18.435635195876362,16.36702384171369,14.655395370973272,10.871251376063697,9.164777733194436,17.977408746375975,5.55493847298301,10.84894721234695,10.809522330903224,5.153313168470394,1.7679475473027977,13.431662870986544,8.09162278351772,9.68039933016401,15.952591741616022,7.146654411896837,14.372736315844465,14.73645227294183,7.590020555266187,11.496236440743388,15.53079759756063,9.50072105165134,11.441052333846658,10.681854681805362,18.751031774809363,9.697077348992073,10.613814454424386]",12800,0.0001567528810986647,3200,0,,0,0.0016195319896820403,12800,0.0001567528810986647,3200,0.0007895147283600971,0.00048237180868454743,True,0.05101120797917247
full,free-283,11.533182291348515,0.02432730337139219,0.024605854181572795,0.03192334988852963,1.2163651685696095,"[16.241228339569258,14.564641484598011,8.240856786504608,16.958125663221836,2.382760193885425,9.28826555778345,9.925492446886398,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.1372066380623,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,18.628465044624406,15.515415892426017,16.997096074802098,14.249318924883617,9.98609532661684,5.6832668507100115,12.584027631238092,8.792132789024688,18.437084270447674,17.209432515874244,14.655395370973272,18.023863101715442,10.800801444788489,17.977408746375975,5.55493847298301,10.84894721234695,12.246113833792178,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.67274009199134,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,13.244441301507164,15.53079759756063,9.50072105165134,12.548129484104297,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",12800,0.0002470965073535617,3200,0,,0,-0.009886681916433318,12800,0.0002470965073535617,3200,0.000968624106557279,0.00038011411517800296,True,0.06644854205660522
full,free-293,11.725332062558055,0.03267025917302817,0.032010458409786224,0.05105305816978216,1.6335129586514086,"[17.6288884475377,14.564641484598011,8.240856786504608,16.958125663221836,2.3853571059478376,9.28826555778345,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.136121913424677,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7658387996598113,8.693369322127833,8.05998035383754,12.982145305173777,18.62772595441288,15.515415892426017,16.996686396112363,14.2536145993761,9.986598770041644,5.6832668507100115,12.584027631238092,8.792132789024688,18.435635195876362,17.202220890897586,14.655395370973272,18.023863101715442,13.545049287205485,17.977408746375975,5.55493847298301,10.84894721234695,14.857457272601529,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.763824924096532,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,17.246018085903074,15.530301943513873,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",12800,0.00034271450770392663,3200,0,,0,0.030640023580878372,12800,0.00034271450770392663,3200,0.001758131075644821,0.0005104727995785651,True,0.05645695887506008
full,residual-293,11.716704295028256,0.02741425424348563,0.028213645447976887,0.03565789960557595,1.3707127121742815,"[17.6288884475377,14.564641484598011,8.240856786504608,16.958125663221836,2.382401093276024,9.28826555778345,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.136121913424677,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7648770582909057,8.693369322127833,8.05998035383754,12.982145305173777,18.62772595441288,15.515415892426017,16.997096074802098,14.2536145993761,9.98609532661684,5.6832668507100115,12.584027631238092,8.792132789024688,18.435635195876362,17.202220890897586,14.655395370973272,17.475201844537338,13.545049287205485,17.977408746375975,5.55493847298301,10.84894721234695,14.857457272601529,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.763824924096532,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,17.246018085903074,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",12800,0.00023717098640217807,3200,0,,0,0.010626829992044224,12800,0.00023717098640217807,3200,0.000587150614008059,0.00042834772255446297,True,0.04871170804835856
full,known_state,7.505277420495723,0.6092022674717009,0.6535392290679738,0.7868632524041459,30.460113373585045,"[8.710075873919749,14.564641484598011,3.3336865140446292,16.958125663221836,2.382401093276024,3.7313205642280987,8.529320255927608,9.514279509583966,6.1667500787827505,10.308863712105804,12.375615133182517,6.156447139851811,5.6069751335376266,2.669233164410873,7.236137963839776,2.0645113125020105,15.956798334904523,6.448001374332871,11.868725354815364,5.03199181244456,9.709665675172733,8.86858957183271,2.682804033052982,18.187620807454007,2.3328004431573377,1.2072667471698406,5.695041898483766,3.0317041713194985,6.128872849510179,18.62772595441288,5.158520115568636,7.948767797233246,6.851803650026864,7.012261261077006,2.8497495987911012,4.706225118656217,8.595076658371363,15.115565281161317,8.207229895539928,7.737213432411066,8.194812155690563,6.568671074589807,8.194286153891413,4.227450545183046,4.192358530953095,8.049220117507552,5.270563131088653,1.6800400739958266,6.809357654012894,4.689869142377423,7.9890716646849,16.512285663619377,5.222737173395351,5.729400793358553,9.225860570287319,7.572706000846851,8.203139212085219,15.186537012825816,3.0887406656154517,12.517173731537232,3.1969402631065904,7.928594770356109,4.847120863325475,4.972411513478619]",,,,,,,,,,,,0.009518785429245327,True,0.05339787504635751
full,particle,7.664982968214799,0.6856107024475933,0.7338777084369212,0.8516588978702202,34.28053512237966,"[8.854901563186983,14.564641484598011,3.3921196891728638,16.958125663221836,2.382401093276024,3.99408737799366,8.530629924818308,10.374236718373398,6.1667500787827505,10.308863712105804,12.39295493089996,6.273113482434748,5.682408966487772,2.8619804098088406,7.466626094882613,2.413392206698755,16.245584009737282,6.914139717895399,11.962129415768306,5.073097028571607,9.709665675172733,8.86858957183271,3.045736327801623,19.602260185349248,2.3792689965487095,1.4872246063025323,5.803832982986919,2.7426210448553547,5.913111586390674,18.62772595441288,5.534753217855964,7.915373269779571,6.921607680626215,7.365640942922836,3.039279132916344,4.395044554660308,8.669159754180322,16.211239371415946,8.244536952120589,7.564764741454206,8.349785199050949,6.562100996193182,8.107542444763418,4.343389877799323,4.313816623598912,8.138710165925755,5.234541466147172,1.7880785494387983,6.27728090627545,4.710966428277746,8.174214749165829,18.81774886001718,5.189502512221647,5.673422126326042,9.259656519586105,7.572706000846851,7.988454071331499,15.329123843605172,3.366573168600372,12.574237657252565,3.48037773932608,8.168002473152596,5.339824654906695,4.945232813637229]",,,,,,,,,,,,0.010712667225743645,True,0.6141462090890855
full,zero,11.725279335464066,5.686627700924874e-06,5.854526534676552e-06,1.1095579247921704e-05,0.00028433138504624367,"[17.6288884475377,14.564641484598011,8.240856786504608,16.958125663221836,2.382401093276024,9.28826555778345,10.779385423437118,15.035436297694645,6.1667500787827505,10.308863712105804,12.39295493089996,15.081212949096715,8.133630074749172,5.222673609993335,8.239496434027355,8.152327798465418,19.136121913424677,12.334397985198189,12.735995124539013,7.81870138798276,9.709665675172733,11.081021303756994,3.6505813777962155,19.602260185349248,7.595001220266173,2.7648770582909057,8.693510652841665,8.05998035383754,12.982145305173777,18.62772595441288,15.515415892426017,16.997096074802098,14.2536145993761,9.98609532661684,5.6832668507100115,12.584027631238092,8.792132789024688,18.435635195876362,17.202220890897586,14.655395370973272,18.023863101715442,13.545049287205485,17.977408746375975,5.55493847298301,10.84894721234695,14.857457272601529,5.234541466147172,1.7679475473027977,13.431662870986544,11.483844655041638,9.819930187684715,19.763824924096532,8.794164878287297,14.372736315844465,14.73645227294183,7.572706000846851,17.246018085903074,15.53079759756063,9.50072105165134,13.159082265767086,10.681854681805362,18.798984417536733,9.697077348992073,10.545070345918035]",,,,,,,,,,,,8.885355782695115e-08,False,0.053935999982059
full,uniform,43.05624924486057,6.3125556334853175e-06,5.958485417068005e-06,8.624978363513947e-06,0.00031562778167426586,"[44.3155354002933,32.44810423392796,47.23138611920683,42.60395788964889,47.02770918847191,48.39402621222223,43.974587782438654,39.88002578416599,38.894708459375856,41.390235272500306,40.801277050288775,38.570618852490014,41.45575725109149,47.74198943433815,38.980494959062874,42.82261578276827,52.63661516831207,42.327189641302596,39.569090062859665,45.975384127568766,42.94110031799567,42.85453392820684,45.26741329463904,51.872774084695145,43.01486905654767,48.92037591474079,39.828161255053864,38.238886170754924,40.26056749458953,45.37922961465916,37.63605922441139,41.007708275802635,39.317483813452874,39.96995226957798,40.995608516907765,45.48767257102028,37.29878358549419,45.81729877508877,44.5444190399047,41.57364946914822,39.63974979830312,35.58719590148858,46.900754393338154,40.180866543831506,47.07882684023826,48.36910467786446,41.993756342199184,38.76757279359163,41.91372098759912,53.345758474910774,41.42169895802617,48.78536461561731,47.997816370428296,45.37577483434402,41.4762835767706,45.3800297891443,36.42751369712013,43.203290660846385,46.97107979645282,47.80957774068609,41.660826733542514,46.64427578639364,38.85818575494551,40.54307125836751]",,,,,,,,,,,,9.863368177320809e-08,False,0.05883437488228083
