regime,group,anchors,episodes,original_weight_mass,mean_advantage,cross_half_covariance,pooled_half_variance,repeatability,zero_difference_fraction,both_censored_fraction,analytic_found_fraction,analytic_censored_fraction,analytic_at_cap_fraction,neural_found_fraction,neural_censored_fraction,neural_at_cap_fraction
base,all,123,36,1.0,-0.03961226851851851,0.5055043563528807,0.9292443881146049,0.5439950596618898,0.9475983796296296,0.22572337962962963,0.7663194444444444,0.23368055555555556,0.24403935185185185,0.7656539351851852,0.23434606481481482,0.24348958333333334
base,different_action,15,12,0.09537037037037037,-0.41535194174757273,5.351460139975492,9.380378872007258,0.5704950954534698,0.4505461165048544,0.2630461165048544,0.6535194174757282,0.34648058252427183,0.38015776699029125,0.6465412621359223,0.35345873786407767,0.3743932038834951
shift,all,141,36,1.0,-0.12065972222222222,-0.1195639896262003,2.4671825636038234,-0.04846175203652246,0.7296585648148148,0.2512152777777778,0.725,0.275,0.28587962962962965,0.718287037037037,0.28171296296296294,0.29207175925925927
shift,different_action,44,31,0.3648148148148148,-0.330742385786802,-0.3870693250921178,6.683199441092916,-0.057916770029658074,0.25896256345177665,0.1678299492385787,0.7669733502538071,0.2330266497461929,0.2444479695431472,0.7485723350253807,0.25142766497461927,0.2614213197969543
