anchor_id,episode_id,regime,case,schedule,preaction_step,weight,same_action,half_a,half_b,mean_advantage,paired_standard_error,physical_records,tied_replicates,both_censored_replicates,analytic_censored_fraction,neural_censored_fraction
156,train:base:19500011:period2,base,10,period2,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
157,train:base:19500011:period2,base,10,period2,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
160,train:base:19500011:always,base,10,always,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
161,train:base:19500011:always,base,10,always,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,4,0.25,0.25
162,train:base:19500011:always,base,10,always,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
165,train:base:19500012:period2,base,11,period2,0,0.027777777777777776,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
170,train:base:19500012:always,base,11,always,0,0.027777777777777776,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
175,train:base:19500012:never,base,11,never,0,0.027777777777777776,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
180,train:shift:19600001:always,shift,0,always,0,0.005555555555555556,False,1.0,0.75,0.875,2.073392951983134,32,11,8,0.5625,0.5625
181,train:shift:19600001:always,shift,0,always,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,12,0.75,0.75
182,train:shift:19600001:always,shift,0,always,8,0.005555555555555556,False,-4.625,-2.625,-3.625,1.8526445062846424,32,8,7,0.5,0.5625
183,train:shift:19600001:always,shift,0,always,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
184,train:shift:19600001:always,shift,0,always,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
185,train:shift:19600001:never,shift,0,never,0,0.006944444444444444,False,5.75,-2.5,1.625,2.452677108793573,32,8,6,0.5,0.5625
186,train:shift:19600001:never,shift,0,never,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,12,0.75,0.75
187,train:shift:19600001:never,shift,0,never,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
188,train:shift:19600001:never,shift,0,never,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
190,train:shift:19600001:period2,shift,0,period2,0,0.005555555555555556,False,2.375,2.0,2.1875,1.72776047240351,32,10,7,0.5,0.5625
191,train:shift:19600001:period2,shift,0,period2,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,16,1.0,1.0
192,train:shift:19600001:period2,shift,0,period2,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,15,0.9375,0.9375
193,train:shift:19600001:period2,shift,0,period2,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,14,0.875,0.875
194,train:shift:19600001:period2,shift,0,period2,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
195,train:shift:19600002:never,shift,1,never,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
196,train:shift:19600002:never,shift,1,never,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
197,train:shift:19600002:never,shift,1,never,8,0.006944444444444444,False,3.875,-1.5,1.1875,2.737423895441357,32,2,0,0.125,0.0
198,train:shift:19600002:never,shift,1,never,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
200,train:shift:19600002:period2,shift,1,period2,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,7,0.4375,0.4375
201,train:shift:19600002:period2,shift,1,period2,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
202,train:shift:19600002:period2,shift,1,period2,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
203,train:shift:19600002:period2,shift,1,period2,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
205,train:shift:19600002:always,shift,1,always,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
206,train:shift:19600002:always,shift,1,always,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
207,train:shift:19600002:always,shift,1,always,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
210,train:shift:19600003:period2,shift,2,period2,0,0.006944444444444444,False,1.75,-1.5,0.125,1.7172531360674037,32,1,0,0.0,0.0
211,train:shift:19600003:period2,shift,2,period2,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
212,train:shift:19600003:period2,shift,2,period2,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
213,train:shift:19600003:period2,shift,2,period2,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
215,train:shift:19600003:always,shift,2,always,0,0.006944444444444444,False,-0.25,2.25,1.0,1.5491933384829668,32,2,0,0.125,0.0
