time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/n_updates
512,1,420,1,0.4,86.2,,,,,,,,,,
1024,2,411,2,0.45454545454545453,89.54545454545455,-0.001028391910949722,0.2,0.0018841508,-0.5297008119523525,0.0001,0.0,0.010428017005324364,0.06900582101661712,-0.13414466381072998,4
1536,3,423,3,0.5,92.875,-0.001550739340018481,0.2,0.00039265834,-0.49196437932550907,0.0001,0.0,0.00536641851067543,0.05511694343294948,0.2608303427696228,8
2048,4,430,4,0.6190476190476191,95.19047619047619,-0.001441755419364199,0.2,0.0025921513,-0.49669427052140236,0.0001,0.0009765625,0.003589433617889881,0.040373319876380265,0.3726078271865845,12
2560,5,429,5,0.6538461538461539,97.84615384615384,-8.995045209303498e-05,0.2,9.717536e-05,-0.509180935099721,0.0001,0.0,0.00506617920473218,0.03518698405241594,0.5850355625152588,16
3072,6,433,7,0.6774193548387096,98.96774193548387,-0.007349264051299542,0.2,0.0119902175,-0.4687007889151573,0.0001,0.064453125,-0.01039018202573061,0.023936652520205826,0.5992141366004944,20
3584,7,434,8,0.6666666666666666,99.55555555555556,-0.0013819904706906527,0.2,0.00083869573,-0.4872599318623543,0.0001,0.0,0.006381332874298096,0.02223122355644591,0.5405493378639221,24
4096,8,430,9,0.6428571428571429,97.5,-0.001995512648136355,0.2,0.0059659523,-0.5177369844168425,0.0001,0.01025390625,0.015484391711652279,0.027003407129086554,0.21164923906326294,28
4608,9,433,10,0.6595744680851063,96.8936170212766,-0.0007568999426439404,0.2,0.00035577384,-0.5163037553429604,0.0001,0.0,0.00038794148713350296,0.02758109715068713,0.3879266381263733,32
5120,10,430,11,0.660377358490566,96.28301886792453,-0.0001503980893176049,0.2,0.000114243594,-0.5175917856395245,0.0001,0.0,0.014209210872650146,0.02267103365738876,0.04669022560119629,36
5632,11,429,13,0.6271186440677966,95.28813559322033,-0.003316354734124616,0.2,0.0075935675,-0.5203284053131938,0.0001,0.02392578125,0.004147734493017197,0.02281975094228983,0.47624605894088745,40
6144,12,434,14,0.6507936507936508,96.6984126984127,-0.0019214528729207814,0.2,0.0027184032,-0.5051121106371284,0.0001,0.0,-8.0890953540802e-05,0.033205955172888935,0.2590169906616211,44
6656,13,434,15,0.6764705882352942,97.42647058823529,-0.0014262162731029093,0.2,0.0033462364,-0.5125958062708378,0.0001,0.00244140625,-0.007776509039103985,0.007397281107841991,0.5881592035293579,48
7168,14,432,16,0.6712328767123288,97.3972602739726,-0.0009507472714176401,0.2,0.0010856283,-0.5252111237496138,0.0001,0.0,-0.01112002320587635,0.008277500732219778,0.46221351623535156,52
7680,15,429,17,0.6794871794871795,98.24358974358974,-0.0021917243429925293,0.2,0.0051944605,-0.539127653464675,0.0001,0.00537109375,0.007909301668405533,0.027302203903673217,0.1873563528060913,56
8192,16,427,19,0.6785714285714286,97.51190476190476,-0.0027830908948089927,0.2,0.00401651,-0.49001356679946184,0.0001,0.005859375,0.009905051440000534,0.013066658895695582,0.5685974359512329,60
