time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss
1,7.21,2,83.9090909090909,1024,423,,,,,,,,,,
2,7.880000000000001,4,89.04347826086956,2048,413,0.3727700412273407,0.2,1.0386216666549444,-0.6872949887067079,0.18449550867080688,0.009332099,0.0003,0.0052734375,10,-0.0030591900314902885
3,7.489428571428571,7,87.22857142857143,3072,409,0.2981744110584259,0.2,0.7002451008185744,-0.6888793136924505,0.6510320901870728,0.01287804,0.0003,0.040234375,20,-0.008130614401306958
4,7.474347826086955,10,87.76086956521739,4096,406,0.4625720977783203,0.2,0.9847742352634669,-0.6740214407444001,0.7331353425979614,0.0152001325,0.0003,0.0302734375,30,-0.002523344132350758
5,7.459298245614035,12,88.42105263157895,5120,407,0.3616238534450531,0.2,0.7067952198907733,-0.643772243335843,0.8100501894950867,0.008791875,0.0003,0.03603515625,40,-0.0029186457744799555
6,7.1467605633802815,15,86.45070422535211,6144,402,0.12103501707315445,0.2,0.4062534410506487,-0.5946274735033512,0.909481406211853,0.007909556,0.0003,0.03447265625,50,-0.003009547287365422
7,7.063614457831325,17,85.3855421686747,7168,401,0.25092944502830505,0.2,0.7216246385127306,-0.5555766064673662,0.8551337122917175,0.0040828018,0.0003,0.009765625,60,-0.0016942871428909712
8,7.01736842105263,20,85.38947368421053,8192,400,0.1854701042175293,0.2,0.6063348053023219,-0.5005389196798206,0.8769704699516296,0.0068049645,0.0003,0.03720703125,70,-0.003980917486478575
9,7.056199999999999,22,86.42,9216,400,0.23077864944934845,0.2,0.36270417580381037,-0.5246059648692608,0.9278879165649414,0.0023431513,0.0003,0.00927734375,80,-0.00013638031668961048
10,6.948499999999998,25,86.45,10240,403,0.18500162661075592,0.2,0.4362536931410432,-0.5852967943996191,0.9246370792388916,0.0044950107,0.0003,0.06044921875,90,-0.0047140405309619385
11,6.881299999999999,27,86.3,11264,404,0.18651825189590454,0.2,0.3358115711249411,-0.6274010699242354,0.942051112651825,0.006182061,0.0003,0.028125,100,-0.00376554366084747
12,6.980600000000001,30,87.35,12288,404,0.10874161124229431,0.2,0.27214268650859597,-0.63062061406672,0.9570900201797485,0.003703886,0.0003,0.00908203125,110,-0.003230063064256683
13,7.027100000000002,32,87.96,13312,405,0.09309420734643936,0.2,0.32025495199486614,-0.6218939505517482,0.9438347220420837,0.0015376615,0.0003,0.0087890625,120,-0.0020582352095516398
14,7.0964,35,88.24,14336,404,0.08864565193653107,0.2,0.3445950608700514,-0.6015367794781923,0.941851019859314,0.0025359713,0.0003,0.0,130,-0.0003253064991440624
15,7.1556,37,89.08,15360,405,0.18385975062847137,0.2,0.4400988589040935,-0.6099339812994004,0.9233936071395874,0.0008866732,0.0003,0.01171875,140,-0.00111147343122866
16,7.221000000000001,40,90.07,16384,405,0.11018092185258865,0.2,0.3366186970844865,-0.6402224961668253,0.9411308765411377,0.0060311374,0.0003,0.06259765625,150,-0.004916843492537737
