key,arm,seed,learning_rate,origin,status,parameter_bytes,buffer_bytes,state_bytes,normalizer_bytes,persistent_bytes,median_seconds,p95_seconds,error,model_key
joint_temporal_affine-8103-cached,joint_temporal_affine,8103,0.003,cached,PASS,3848,0,48,192,4088,0.00400956254452467,0.004248568811453879,null,joint_temporal_affine-8103-cached
dense_bounded-8101-cached,dense_bounded,8101,0.001,cached,PASS,3224,0,48,192,3464,0.004588312469422817,0.004765303677413612,null,dense_bounded-8101-cached
dense_bounded-8102-cached,dense_bounded,8102,0.001,cached,PASS,3224,0,48,192,3464,0.004480354022234678,0.004830856912303716,null,dense_bounded-8102-cached
dense_bounded-8103-cached,dense_bounded,8103,0.001,cached,PASS,3224,0,48,192,3464,0.004619145533069968,0.004857137450017035,null,dense_bounded-8103-cached
dense_unbounded-8101-cached,dense_unbounded,8101,0.003,cached,PASS,3224,0,48,192,3464,0.004493645974434912,0.004836767434608191,null,dense_unbounded-8101-cached
dense_unbounded-8102-cached,dense_unbounded,8102,0.003,cached,PASS,3224,0,48,192,3464,0.004560479079373181,0.004722511884756387,null,dense_unbounded-8102-cached
dense_unbounded-8103-cached,dense_unbounded,8103,0.003,cached,PASS,3224,0,48,192,3464,0.004545874428004026,0.0047852579155005515,null,dense_unbounded-8103-cached
gru32-8101-cached,gru32,8101,0.003,cached,PASS,23664,0,200,192,24056,0.002218541456386447,0.002711137686856091,null,gru32-8101-cached
gru32-8102-cached,gru32,8102,0.003,cached,PASS,23664,0,200,192,24056,0.0021796664223074913,0.0026063430239446463,null,gru32-8102-cached
gru32-8103-cached,gru32,8103,0.003,cached,PASS,23664,0,200,192,24056,0.0021570625249296427,0.002676181402057409,null,gru32-8103-cached
legacy_instant-8101-cached,legacy_instant,8101,0.001,cached,PASS,4056,0,48,192,4296,0.00448210455942899,0.004869843390770257,null,legacy_instant-8101-cached
legacy_instant-8102-cached,legacy_instant,8102,0.001,cached,PASS,4056,0,48,192,4296,0.0042032289784401655,0.004518216871656477,null,legacy_instant-8102-cached
legacy_instant-8103-cached,legacy_instant,8103,0.001,cached,PASS,4056,0,48,192,4296,0.004372438066639006,0.004624207864981146,null,legacy_instant-8103-cached
gru10-8101-cached,gru10,8101,0.003,cached,PASS,5184,0,112,192,5488,0.002213853527791798,0.0026989368023350837,null,gru10-8101-cached
gru10-8102-cached,gru10,8102,0.003,cached,PASS,5184,0,112,192,5488,0.002280395943671465,0.00276917569572106,null,gru10-8102-cached
gru10-8103-cached,gru10,8103,0.003,cached,PASS,5184,0,112,192,5488,0.002698625437915325,0.0029423354892060163,null,gru10-8103-cached
causal_ridge_1,causal_ridge_1,,,reference,PASS,3563520,16,1536,192,3565264,0.000582895940169692,0.0009318544412963093,null,causal_ridge_1
causal_ridge_100,causal_ridge_100,,,reference,PASS,3563520,16,1536,192,3565264,0.0005990414647385478,0.0008720900397747757,null,causal_ridge_100
linear_frozen,linear_frozen,,,reference,PASS,1200,0,144,192,1536,0.0002666454529389739,0.00040526882512494935,null,linear_frozen
persistence,persistence,,,reference,PASS,0,0,48,192,240,9.979470632970333e-06,1.3212417252361776e-05,null,persistence
frozen_position_lr001-8101-lr0,frozen_position_lr001,8101,0.001,inherited_alias,PASS,2648,0,48,192,2888,0.005818312522023916,0.006775787484366447,null,observer_position-8101-lr0
frozen_position_lr001-8102-lr0,frozen_position_lr001,8102,0.001,inherited_alias,PASS,2648,0,48,192,2888,0.005671145976521075,0.0059486765996553,null,observer_position-8102-lr0
frozen_position_lr001-8103-lr0,frozen_position_lr001,8103,0.001,inherited_alias,PASS,2648,0,48,192,2888,0.005630291416309774,0.005784830963239074,null,observer_position-8103-lr0
