regime,arm,level,success_percent,capped_moves,controller_seconds,weighted_queries,query_fraction
lambda3,analytic,individual,100.0,30.233742846481267,0.010248240716649707,0.0,0.0
lambda3,gru32@40101,individual,100.0,26.371002108823724,0.9027787792234501,26.371002108823724,1.0
lambda3,gru32@40102,individual,100.0,26.371002108823724,0.8909302844437419,26.371002108823724,1.0
lambda3,gru32@40103,individual,100.0,26.371002108823724,0.8938137664952295,26.371002108823724,1.0
lambda3,mlp190@40101,individual,100.0,26.371002108823724,0.905364247565652,26.371002108823724,1.0
lambda3,mlp190@40102,individual,100.0,26.371002108823724,0.9008989197824577,26.371002108823724,1.0
lambda3,mlp190@40103,individual,100.0,26.371002108823724,0.8908363227391062,26.371002108823724,1.0
lambda3,neural,individual,100.0,26.371002108823724,0.8800656403695758,26.371002108823724,1.0
lambda3,gru32_mean,family_mean,100.0,26.371002108823728,0.8958409433874738,26.371002108823728,1.0
lambda3,mlp190_mean,family_mean,100.0,26.371002108823728,0.8990331633624052,26.371002108823728,1.0
lambda4,analytic,individual,100.0,59.317453002928595,0.020748829644941118,0.0,0.0
lambda4,gru32@40101,individual,100.0,44.83105980649677,1.540331937248143,44.83105980649677,1.0
lambda4,gru32@40102,individual,100.0,44.83105980649677,1.5203838922623816,44.83105980649677,1.0
lambda4,gru32@40103,individual,100.0,44.83105980649677,1.5223293796170727,44.83105980649677,1.0
lambda4,mlp190@40101,individual,100.0,44.83105980649677,1.517557841717141,44.83105980649677,1.0
lambda4,mlp190@40102,individual,100.0,44.83105980649677,1.5430922210948141,44.83105980649677,1.0
lambda4,mlp190@40103,individual,100.0,44.83105980649677,1.5038894997787873,44.83105980649677,1.0
lambda4,neural,individual,100.0,44.83105980649677,1.5002683558467698,44.83105980649677,1.0
lambda4,gru32_mean,family_mean,100.0,44.83105980649677,1.5276817363758657,44.83105980649677,1.0
lambda4,mlp190_mean,family_mean,100.0,44.83105980649677,1.5215131875302472,44.83105980649677,1.0
lambda5,analytic,individual,100.0,72.468907875499,0.025263849081734263,0.0,0.0
lambda5,gru32@40101,individual,100.0,169.30338765742258,5.730902377361554,169.30338765742258,1.0
lambda5,gru32@40102,individual,100.0,169.30338765742258,5.720893417105636,169.30338765742258,1.0
lambda5,gru32@40103,individual,100.0,169.30338765742258,5.741783440502657,169.30338765742258,1.0
lambda5,mlp190@40101,individual,100.0,169.30338765742258,5.756743548104022,169.30338765742258,1.0
lambda5,mlp190@40102,individual,100.0,169.30338765742258,5.768489139748262,169.30338765742258,1.0
lambda5,mlp190@40103,individual,100.0,169.30338765742258,5.754952356683539,169.30338765742258,1.0
lambda5,neural,individual,100.0,169.30338765742258,5.60282054781797,169.30338765742258,1.0
lambda5,gru32_mean,family_mean,100.0,169.30338765742258,5.731193078323282,169.30338765742258,1.0
lambda5,mlp190_mean,family_mean,100.0,169.30338765742258,5.760061681511941,169.30338765742258,1.0
