candidate,control,regime,scope,direction,seed_count,candidate_episode_weighted_raw_gap,candidate_episode_weighted_agreement,candidate_episode_weighted_centered_mse,candidate_episode_weighted_first_argmin_match,control_episode_weighted_raw_gap,control_episode_weighted_agreement,control_episode_weighted_centered_mse,control_episode_weighted_first_argmin_match,delta_episode_weighted_raw_gap,delta_episode_weighted_agreement,delta_episode_weighted_centered_mse,delta_episode_weighted_first_argmin_match
frozen_spo,pretrained,lambda3,initial,frozen_spo minus control,3,0.051255850144374525,0.7839506172839507,0.05816131363455404,0.6419753086419753,0.04425164799631378,0.7654320987654321,0.028298570071280404,0.5493827160493826,0.007004202148060741,0.018518518518518563,0.029862743563273637,0.0925925925925926
frozen_spo,frozen_aux,lambda3,initial,frozen_spo minus control,3,0.051255850144374525,0.7839506172839507,0.05816131363455404,0.6419753086419753,0.04587439548822097,0.8271604938271605,0.029240217407597677,0.46296296296296297,0.005381454656153549,-0.04320987654320988,0.028921096226956367,0.17901234567901236
frozen_spo,joint_aux,lambda3,initial,frozen_spo minus control,3,0.051255850144374525,0.7839506172839507,0.05816131363455404,0.6419753086419753,0.04274120448548117,0.7777777777777778,0.023638107809570087,0.5740740740740741,0.008514645658893353,0.00617283950617283,0.03452320582498396,0.0679012345679012
frozen_spo,joint_spo,lambda3,initial,frozen_spo minus control,3,0.051255850144374525,0.7839506172839507,0.05816131363455404,0.6419753086419753,0.042631331785225574,0.7592592592592592,0.09059975951295852,0.6234567901234568,0.00862451835914895,0.024691358024691357,-0.03243844587840449,0.018518518518518472
frozen_spo,pretrained,lambda3,full,frozen_spo minus control,3,0.13723642778298228,0.7039220628673144,0.14886054288512288,0.6546176851167465,0.1412671691964966,0.6798970770561712,0.09700986809081437,0.6085274596217615,-0.004030741413514324,0.024024985811143207,0.05185067479430852,0.04609022549498498
frozen_spo,frozen_aux,lambda3,full,frozen_spo minus control,3,0.13723642778298228,0.7039220628673144,0.14886054288512288,0.6546176851167465,0.1430040524390318,0.694426785173588,0.0976202909532501,0.599471290839243,-0.005767624656049529,0.009495277693726304,0.05124025193187279,0.05514639427750342
frozen_spo,joint_aux,lambda3,full,frozen_spo minus control,3,0.13723642778298228,0.7039220628673144,0.14886054288512288,0.6546176851167465,0.1112864375070124,0.7095775317377795,0.08384692418524953,0.6422072918321591,0.025949990275969878,-0.005655468870465123,0.06501361869987338,0.012410393284587337
frozen_spo,joint_spo,lambda3,full,frozen_spo minus control,3,0.13723642778298228,0.7039220628673144,0.14886054288512288,0.6546176851167465,0.13466253270213396,0.7041287666227113,0.27956518413542475,0.6649061818309662,0.002573895080848316,-0.00020670375539688646,-0.13070464125030187,-0.01028849671421972
frozen_spo,pretrained,lambda3,postcorrection,frozen_spo minus control,3,0.14986222891345968,0.6387165003784864,0.16517542178538155,0.619814738560058,0.15372825618743471,0.6422465830500971,0.10880495763702247,0.6241655283023757,-0.003866027273975031,-0.0035300826716106273,0.05637046414835908,-0.004350789742317729
frozen_spo,frozen_aux,lambda3,postcorrection,frozen_spo minus control,3,0.14986222891345968,0.6387165003784864,0.16517542178538155,0.619814738560058,0.15345828431443087,0.6435955046509751,0.10942471047444642,0.622256874145678,-0.0035960554009711876,-0.004879004272488737,0.05575071131093512,-0.0024421355856200457
