family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_raw_gap,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match
pretrained,301000001,lambda3,initial,18,18,6,6,1.0,54,0.05743964513142904,0.6481481481481481,0.023445933460212447,0.5185185185185185
pretrained,301000001,lambda3,full,18,18,6,6,1.0,3631,0.1494904369701622,0.6584943976093703,0.08690385804483763,0.6086479668111582
pretrained,301000001,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.15954842872811342,0.6495868715306402,0.09826363166246738,0.6333913386684407
pretrained,301000001,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.0477338985160545,0.49074074074074076,0.02252234312340167,0.4722222222222222
pretrained,301000001,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.07443429556003106,0.5629144999752714,0.06172960075188463,0.5567416604690986
pretrained,301000001,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.08619014735645901,0.47427829939324195,0.062288414047767464,0.47427829939324195
frozen_aux,301000001,lambda3,initial,18,18,6,6,1.0,54,0.029395633273654513,0.8518518518518519,0.02717153776797608,0.4259259259259259
frozen_aux,301000001,lambda3,full,18,18,6,6,1.0,3631,0.14226064042270783,0.7109251012056896,0.09645201623854444,0.5993480102144881
frozen_aux,301000001,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.16263400077187232,0.6531947617629198,0.10922533934516512,0.6234259965774879
frozen_aux,301000001,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.038611367896751125,0.45370370370370366,0.03192103378661091,0.3055555555555556
frozen_aux,301000001,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.07504748582851405,0.5531243225654524,0.06731633158713626,0.5188052220858844
frozen_aux,301000001,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.08560104164801424,0.49126116327265756,0.06347704869714586,0.48697544898694317
frozen_spo,301000001,lambda3,initial,18,18,6,6,1.0,54,0.043500423431396484,0.7407407407407407,0.058227994306023406,0.7407407407407407
frozen_spo,301000001,lambda3,full,18,18,6,6,1.0,3631,0.13540745931349502,0.7209643036986793,0.14874383696111232,0.712993941066525
frozen_spo,301000001,lambda3,postcorrection,18,17,6,6,0.9444444444444444,3577,0.14986611036406353,0.6763044809104363,0.16584293402710076,0.6667756147149033
frozen_spo,301000001,lambda4,initial,18,15,6,5,0.8333333333333334,44,0.04132270812988281,0.5,0.03834650486955548,0.5
frozen_spo,301000001,lambda4,full,18,15,6,5,0.8333333333333334,3560,0.06998234233254219,0.5660346742029216,0.09954481476563562,0.5660346742029216
frozen_spo,301000001,lambda4,postcorrection,18,13,6,5,0.7222222222222222,3516,0.0759421367942262,0.47630668182392316,0.10554308941071985,0.47630668182392316
