candidate,control,seed,regime,scope,direction,candidate_episode_weighted_raw_gap,control_episode_weighted_raw_gap,delta_episode_weighted_raw_gap,candidate_episode_weighted_agreement,control_episode_weighted_agreement,delta_episode_weighted_agreement,candidate_episode_weighted_centered_mse,control_episode_weighted_centered_mse,delta_episode_weighted_centered_mse,candidate_episode_weighted_first_argmin_match,control_episode_weighted_first_argmin_match,delta_episode_weighted_first_argmin_match
frozen_spo,pretrained,301000001,lambda3,initial,frozen_spo minus control,0.043500423431396484,0.05743964513142904,-0.013939221700032554,0.7407407407407407,0.6481481481481481,0.09259259259259256,0.058227994306023406,0.023445933460212447,0.03478206084581096,0.7407407407407407,0.5185185185185185,0.2222222222222222
frozen_spo,pretrained,301000002,lambda3,initial,frozen_spo minus control,0.03261590886999059,0.0380297236972385,-0.005413814827247905,0.8333333333333334,0.7962962962962963,0.03703703703703709,0.055479883642201834,0.02129562832522601,0.034184255316975824,0.4629629629629629,0.5925925925925926,-0.12962962962962965
frozen_spo,pretrained,301000003,lambda3,initial,frozen_spo minus control,0.07765121813173648,0.037285575160273796,0.04036564297146268,0.7777777777777778,0.8518518518518517,-0.07407407407407396,0.06077606295543689,0.04015414842840275,0.020621914527034137,0.7222222222222222,0.537037037037037,0.18518518518518523
frozen_spo,frozen_aux,301000001,lambda3,initial,frozen_spo minus control,0.043500423431396484,0.029395633273654513,0.014104790157741971,0.7407407407407407,0.8518518518518519,-0.11111111111111116,0.058227994306023406,0.02717153776797608,0.031056456538047325,0.7407407407407407,0.4259259259259259,0.3148148148148148
frozen_spo,frozen_aux,301000002,lambda3,initial,frozen_spo minus control,0.03261590886999059,0.06399412508364077,-0.03137821621365018,0.8333333333333334,0.7962962962962963,0.03703703703703709,0.055479883642201834,0.04123269086147309,0.014247192780728744,0.4629629629629629,0.4259259259259259,0.037037037037037035
frozen_spo,frozen_aux,301000003,lambda3,initial,frozen_spo minus control,0.07765121813173648,0.04423342810736762,0.03341779002436886,0.7777777777777778,0.8333333333333334,-0.05555555555555558,0.06077606295543689,0.01931642359334386,0.04145963936209303,0.7222222222222222,0.537037037037037,0.18518518518518523
frozen_spo,joint_aux,301000001,lambda3,initial,frozen_spo minus control,0.043500423431396484,0.07096355932730215,-0.02746313589590567,0.7407407407407407,0.6111111111111112,0.12962962962962954,0.058227994306023406,0.029867471858682184,0.028360522447341222,0.7407407407407407,0.5555555555555556,0.18518518518518512
frozen_spo,joint_aux,301000002,lambda3,initial,frozen_spo minus control,0.03261590886999059,0.035333509798403134,-0.002717600928412542,0.8333333333333334,0.8703703703703703,-0.03703703703703698,0.055479883642201834,0.020090684560023594,0.03538919908217824,0.4629629629629629,0.5,-0.03703703703703709
frozen_spo,joint_aux,301000003,lambda3,initial,frozen_spo minus control,0.07765121813173648,0.021926544330738207,0.05572467380099827,0.7777777777777778,0.8518518518518519,-0.07407407407407407,0.06077606295543689,0.02095616701000448,0.03981989594543241,0.7222222222222222,0.6666666666666666,0.05555555555555558
frozen_spo,joint_spo,301000001,lambda3,initial,frozen_spo minus control,0.043500423431396484,0.05935260984632704,-0.015852186414930552,0.7407407407407407,0.5555555555555556,0.18518518518518512,0.058227994306023406,0.11908943382642777,-0.06086143952040436,0.7407407407407407,0.5555555555555556,0.18518518518518512
frozen_spo,joint_spo,301000002,lambda3,initial,frozen_spo minus control,0.03261590886999059,0.03803178999159071,-0.005415881121600116,0.8333333333333334,0.8518518518518519,-0.01851851851851849,0.055479883642201834,0.10014372498701968,-0.044663841344817844,0.4629629629629629,0.48148148148148145,-0.018518518518518545
frozen_spo,joint_spo,301000003,lambda3,initial,frozen_spo minus control,0.07765121813173648,0.030509595517758965,0.047141622613977516,0.7777777777777778,0.8703703703703703,-0.09259259259259256,0.06077606295543689,0.052566119725428156,0.008209943230008732,0.7222222222222222,0.8333333333333334,-0.11111111111111116
frozen_spo,pretrained,301000001,lambda3,full,frozen_spo minus control,0.13540745931349502,0.1494904369701622,-0.01408297765666719,0.7209643036986793,0.6584943976093703,0.06246990608930891,0.14874383696111232,0.08690385804483763,0.061839978916274685,0.712993941066525,0.6086479668111582,0.10434597425536685
frozen_spo,pretrained,301000002,lambda3,full,frozen_spo minus control,0.12519857979678098,0.11984528188205355,0.005353297914727426,0.6898644931118546,0.7127621306584506,-0.022897637546596017,0.14183021342873356,0.09234113041484276,0.049489083013890794,0.5888142980642157,0.6317633343842899,-0.042949036320074185
frozen_spo,pretrained,301000003,lambda3,full,frozen_spo minus control,0.15110324423867086,0.15446578873727407,-0.0033625444986032094,0.7009373917914093,0.6684347029006926,0.032502688890716724,0.1560075782655228,0.11178461581276272,0.044222962452760084,0.6620448162194985,0.5851710776698362,0.07687373854966228
frozen_spo,frozen_aux,301000001,lambda3,full,frozen_spo minus control,0.13540745931349502,0.14226064042270783,-0.006853181109212819,0.7209643036986793,0.7109251012056896,0.010039202492989618,0.14874383696111232,0.09645201623854444,0.05229182072256788,0.712993941066525,0.5993480102144881,0.11364593085203689
