family,regime,scope,seed_count,episode_weighted_raw_gap,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match
pretrained,lambda3,initial,3,0.04425164799631378,0.7654320987654321,0.028298570071280404,0.5493827160493826
frozen_aux,lambda3,initial,3,0.04587439548822097,0.8271604938271605,0.029240217407597677,0.46296296296296297
frozen_spo,lambda3,initial,3,0.051255850144374525,0.7839506172839507,0.05816131363455404,0.6419753086419753
joint_aux,lambda3,initial,3,0.04274120448548117,0.7777777777777778,0.023638107809570087,0.5740740740740741
joint_spo,lambda3,initial,3,0.042631331785225574,0.7592592592592592,0.09059975951295852,0.6234567901234568
pretrained,lambda3,full,3,0.1412671691964966,0.6798970770561712,0.09700986809081437,0.6085274596217615
frozen_aux,lambda3,full,3,0.1430040524390318,0.694426785173588,0.0976202909532501,0.599471290839243
frozen_spo,lambda3,full,3,0.13723642778298228,0.7039220628673144,0.14886054288512288,0.6546176851167465
joint_aux,lambda3,full,3,0.1112864375070124,0.7095775317377795,0.08384692418524953,0.6422072918321591
joint_spo,lambda3,full,3,0.13466253270213396,0.7041287666227113,0.27956518413542475,0.6649061818309662
pretrained,lambda3,postcorrection,3,0.15372825618743471,0.6422465830500971,0.10880495763702247,0.6241655283023757
frozen_aux,lambda3,postcorrection,3,0.15345828431443087,0.6435955046509751,0.10942471047444642,0.622256874145678
frozen_spo,lambda3,postcorrection,3,0.14986222891345968,0.6387165003784864,0.16517542178538155,0.619814738560058
joint_aux,lambda3,postcorrection,3,0.11612642823128365,0.6667886186331021,0.09463946282672266,0.6501890453668623
joint_spo,lambda3,postcorrection,3,0.15210041428201934,0.640851839003847,0.3070902445444275,0.6272265342674311
pretrained,lambda4,initial,3,0.02954923665082013,0.5277777777777778,0.027535398313028456,0.478395061728395
frozen_aux,lambda4,initial,3,0.03790505138444312,0.4814814814814814,0.02486494651325698,0.345679012345679
frozen_spo,lambda4,initial,3,0.04009053147869345,0.5,0.042214021716333504,0.48148148148148145
joint_aux,lambda4,initial,3,0.030626723795761295,0.49691358024691357,0.01937844318462112,0.4845679012345679
joint_spo,lambda4,initial,3,0.039541780212779105,0.5802469135802469,0.09079206113689124,0.5493827160493827
pretrained,lambda4,full,3,0.06959011856729726,0.5698330336079585,0.06565301825044279,0.5519197683653774
frozen_aux,lambda4,full,3,0.07473940022254949,0.5531049583255983,0.0620381191601802,0.5224137547487809
frozen_spo,lambda4,full,3,0.07444716747246215,0.5494648173885639,0.09811698217545478,0.5456435357895045
joint_aux,lambda4,full,3,0.05429814784786562,0.564487103903735,0.05234643371679845,0.5616085442494639
joint_spo,lambda4,full,3,0.0677461916219271,0.5656702704090094,0.20272603372598438,0.5557099223524061
pretrained,lambda4,postcorrection,3,0.0790537994114776,0.49010560179142554,0.06759694702535841,0.47577963968768566
frozen_aux,lambda4,postcorrection,3,0.08515767715610072,0.4687773224363263,0.06289909132056809,0.4639625076215115
frozen_spo,lambda4,postcorrection,3,0.08334270443487753,0.45511721923599313,0.10060188907185598,0.45511721923599313
joint_aux,lambda4,postcorrection,3,0.06115455967627622,0.4923971388339205,0.05578702316294413,0.490968567405349
joint_spo,lambda4,postcorrection,3,0.06433061959188506,0.4733893153816526,0.19585316547949483,0.4653836173759545
