parent,seed,scipy_success,certificate_passed,reported_fw_gap,threshold,reported_objective_initial,reported_objective_final,reported_simplex_violation,reported_projection_max_abs,load_seconds,extraction_seconds,solve_seconds,objective_calls,iterations
factorized,426261001,True,True,0.0,1e-08,0.003620765558269695,0.0025556734325779466,0.0,0.0,0.002428625011816621,0.02400449989363551,0.28423145902343094,10,10
matched_free,426261001,True,True,3.247780436949066e-09,1e-08,0.14863569023073525,0.1433909148671304,1.1102230246251565e-16,1.1102230246251565e-16,0.0008105419110506773,0.04410141706466675,0.014063874958083034,37,37
dense_free,426261001,True,False,1.124199828471395e-07,1e-08,0.13348339719954982,0.132953983921864,0.0,0.0,0.0006356670055538416,0.02173329214565456,0.010285000083968043,22,21
matched_free,426261002,True,True,1.3877787807814457e-17,1e-08,0.06907689751393221,0.0678183857933376,0.0,0.0,0.0006827921606600285,0.023234666092321277,0.0060674590058624744,9,9
dense_free,426261002,True,False,1.902918362536865e-07,1e-08,0.12596050150128532,0.12488171541040194,1.1102230246251565e-16,2.7755575615628914e-17,0.0005471659824252129,0.02322008297778666,0.018275083042681217,41,40
factorized,426261002,True,False,4.695283389189592e-07,1e-08,0.12918048436608118,0.12910194802721794,0.0,0.0,0.0006430421490222216,0.022481000050902367,0.02719516702927649,55,55
dense_free,426261003,True,False,1.7763159673722662e-07,1e-08,0.1176249077282754,0.11686791589649158,0.0,2.7755575615628914e-17,0.0005719580221921206,0.021703916834667325,0.014742540894076228,24,24
factorized,426261003,True,False,3.469364856997781e-07,1e-08,0.09815131069534502,0.09733152007758768,0.0,2.7755575615628914e-17,0.000555375125259161,0.024350666906684637,0.01111016608774662,19,19
matched_free,426261003,True,False,2.2111157905319034e-07,1e-08,0.113583748128655,0.1129247529915971,0.0,0.0,0.0006582918576896191,0.025832749903202057,0.02424362488090992,38,38
