block,regime,arm,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,paid_controller_seconds,queries,setup_allocation_seconds,steps,update_seconds,success_percent,query_fraction
0,lambda3,analytic,0.015959101660479657,0.01850958768613197,0.07635142233447977,1.0,0.00011783237075804828,0.01850958768613197,0.0,0.0011369144976924872,51.460930647645284,0.0012957391572017772,100.0,0.0
0,lambda3,neural,3.2500273166758893,3.2629210696554622,0.1731699971915961,1.0,6.84699998769421e-05,3.2629210696554622,98.62748458407412,0.009474599990519495,98.62748458407412,0.0033506829891761813,100.0,1.0
0,lambda3,period2,1.0267468910422093,1.0430479082580462,0.10443271047485068,1.0,0.0002428553099245231,1.0430479082580462,28.494369313465054,0.009487579331685899,56.819736862674404,0.006570582574226459,100.0,0.5014871748232851
0,lambda3,random_pair,1.6204651690426057,1.6395720831458283,0.15886812615596313,1.0,0.00023943812616620207,1.6395720831458283,45.905248466932036,0.009487579331685899,91.72166276393473,0.009379896645370372,100.0,0.5004842594827242
0,lambda3,entropy,0.7904481458534903,0.8060836785961121,0.09833919105012384,1.0,0.00026865062743445666,0.9789610169415434,21.9927080306292,0.009487579331685899,58.10891653359963,0.005879302783501476,100.0,0.37847389596246583
1,lambda3,analytic,0.005524960133271729,0.007346946037522507,0.029413094000383732,1.0,9.690933905856215e-05,0.007346946037522507,0.0,0.0011369144976924872,20.50700529276712,0.0005881620674997279,100.0,0.0
1,lambda3,neural,0.7777873410944509,0.7881291406629499,0.04077768447173947,1.0,6.785773539333448e-05,0.7881291406629499,23.573162301559247,0.009474599990519495,23.573162301559247,0.0007993418425861624,100.0,1.0
1,lambda3,period2,0.4101443405177672,0.4222145872091149,0.038260644364432564,1.0,0.0002890823514733034,0.4222145872091149,11.871082032907477,0.009487579331685899,23.573162301559247,0.0022935850081885175,100.0,0.5035846222516469
1,lambda3,random_pair,0.4125366616033753,0.42461323745368573,0.03833191967520353,1.0,0.0002781784908908164,0.42461323745368573,11.830998235744294,0.009487579331685899,23.573162301559247,0.0023108180277336137,100.0,0.5018842225916262
1,lambda3,entropy,0.20935666204258965,0.22100070323803653,0.032116532744651496,1.0,0.0002451939732096664,0.3938780415834679,5.945905617302578,0.009487579331685899,20.50700529276712,0.0019112678905513214,100.0,0.2899450959521484
2,lambda3,analytic,0.00417315423755736,0.005841841611512027,0.022557428322300822,1.0,0.00010353166903325036,0.005841841611512027,0.0,0.0011369144976924872,15.78564391346987,0.00042824120722892976,100.0,0.0
2,lambda3,neural,0.40539044733400337,0.4153114693950586,0.019604936817433076,1.0,6.8515098571776e-05,0.4153114693950586,12.461650970492697,0.009474599990519495,12.461650970492697,0.00037790697196399167,100.0,1.0
2,lambda3,period2,0.1871132565974338,0.19793516374237086,0.01644306171952595,1.0,0.0002461890408649893,0.19793516374237086,5.4843281316299075,0.009487579331685899,10.79965449900411,0.001088138772386199,100.0,0.5078244060618462
2,lambda3,random_pair,0.23668326102060958,0.24770942576669405,0.021342489444534367,1.0,0.00023449018991291099,0.24770942576669405,6.977322838862788,0.009487579331685899,14.123647441981284,0.0013040952244856188,100.0,0.4940170637595582
2,lambda3,entropy,0.09410317911680537,0.1046833784216809,0.013533499902245758,1.0,0.000233952907413143,0.2775607167671123,2.6219126743254035,0.009487579331685899,9.137658027515522,0.0008586670657764965,100.0,0.28693486519524375
3,lambda3,analytic,0.002977893475867769,0.004489983983094319,0.015287379730727368,1.0,9.857650189166869e-05,0.004489983983094319,0.0,0.0011369144976924872,10.83634224567556,0.0002765995076423943,100.0,0.0
3,lambda3,neural,0.4194100442870736,0.42936029731199665,0.020663991924405965,1.0,7.276646458201405e-05,0.42936029731199665,12.658673905816881,0.009474599990519495,12.658673905816881,0.00040288656982154545,100.0,1.0
3,lambda3,period2,0.16530629559486776,0.17594317257257108,0.014892438843909617,1.0,0.00024564157522788947,0.17594317257257108,4.62725668425667,0.009487579331685899,9.25451336851334,0.0009036560707895189,100.0,0.5
3,lambda3,random_pair,0.1290863271492963,0.13951589024653263,0.01055477364162919,1.0,0.00025082994080259294,0.13951589024653263,3.756174651349193,0.009487579331685899,7.512349302698386,0.0006911538247478506,100.0,0.5
3,lambda3,entropy,0.07090006203877422,0.08164258975643379,0.016179347800538,1.0,0.00023262671977657614,0.25451992810186513,1.9512496272338438,0.009487579331685899,11.157012622981027,0.001022321666197081,100.0,0.17488997217899463
4,lambda3,analytic,0.002059927169791865,0.003549798745356449,0.010648483728024287,1.0,0.00010998641362496062,0.003549798745356449,0.0,0.0011369144976924872,7.733497490211981,0.00024297066424713623,100.0,0.0
4,lambda3,neural,0.26011019573345506,0.26990601736200165,0.012939784094616394,1.0,7.018338086791936e-05,0.26990601736200165,7.733497490211981,0.009474599990519495,7.733497490211981,0.00025103825715920206,100.0,1.0
4,lambda3,period2,0.13974523227676633,0.15029940605928016,0.011766761907426513,1.0,0.0002580934926646807,0.15029940605928016,3.9512496272338438,0.009487579331685899,7.733497490211981,0.0008085009581632337,100.0,0.5109266062651217
4,lambda3,random_pair,0.1324747307814506,0.14297583867270372,0.011389674637542292,1.0,0.00027639514198689487,0.14297583867270372,3.822331660141321,0.009487579331685899,7.733497490211981,0.0007371334175803142,100.0,0.49425653334459774
4,lambda3,entropy,0.09632538413280413,0.10684075535581333,0.011441299742043966,1.0,0.0002551470193071232,0.2797180937012447,2.6219126743254035,0.009487579331685899,7.733497490211981,0.0007726448720161683,100.0,0.3390332353044489
5,lambda3,analytic,0.013610960841058846,0.016138787547891463,0.06901193256376859,1.0,0.0001024927806878833,0.016138787547891463,0.0,0.0011369144976924872,45.48230668737035,0.0012884194284522462,100.0,0.0
5,lambda3,neural,1.7298224959103445,1.7410555915637362,0.08959833815220329,1.0,6.734885048590796e-05,1.7410555915637362,52.1652528150167,0.009474599990519495,52.1652528150167,0.0016911468123863528,100.0,1.0
5,lambda3,period2,0.8830631837316895,0.8980356311341422,0.082550896809567,1.0,0.0002726148464791691,0.8980356311341422,25.91795793105413,0.009487579331685899,51.66691409785255,0.005212253224287564,100.0,0.5016354931120488
5,lambda3,random_pair,0.8006445581508579,0.8147353038121339,0.07457752950912783,1.0,0.00023977650750375335,0.8147353038121339,23.513797393750586,0.009487579331685899,46.93876061757184,0.004363389822086293,100.0,0.5009462773277409
5,lambda3,entropy,0.5618036525205259,0.576513561399053,0.08468376721741032,1.0,0.00022944375543663126,0.7493908997444843,15.90589530495942,0.009487579331685899,53.32891056934113,0.004992885791404648,100.0,0.29826027074522204
6,lambda3,analytic,0.011080102794740539,0.013359946535047006,0.059770907629445404,1.0,9.952254722897298e-05,0.013359946535047006,0.0,0.0011369144976924872,41.058938524241356,0.0010434066953850078,100.0,0.0
6,lambda3,neural,1.2654700815902888,1.276289679075093,0.06714372113098858,1.0,6.459965871292105e-05,1.276289679075093,37.59194354381739,0.009474599990519495,37.59194354381739,0.001280397835572108,100.0,1.0
6,lambda3,period2,0.7834588558094437,0.7975772146817909,0.07256618070247797,1.0,0.00024134856579966386,0.7975772146817909,22.660048512049052,0.009487579331685899,44.32009702409811,0.004389430974861524,100.0,0.5112815637503711
6,lambda3,random_pair,0.6878717939350102,0.7014063124816724,0.06361947941033029,1.0,0.0002470611166659293,0.7014063124816724,19.553807706093746,0.009487579331685899,38.36545134637253,0.0037998780983104245,100.0,0.5096722968161449
6,lambda3,entropy,0.4795781950975091,0.49341849658582737,0.06933537408078892,1.0,0.00022976816661606175,0.6662958349312587,13.682725673186265,0.009487579331685899,44.38293146721853,0.004122953990016347,100.0,0.3082880111984581
7,lambda3,analytic,0.007224299304470782,0.009283924044489624,0.040561626024520854,1.0,0.00010353007847951738,0.009283924044489624,0.0,0.0011369144976924872,27.686121723678,0.0008191801638468367,100.0,0.0
7,lambda3,neural,1.0830765119546684,1.0936509043387417,0.056719701421138344,1.0,6.277583422578572e-05,1.0936509043387417,32.67211113814376,0.009474599990519495,32.67211113814376,0.0010370165593279635,100.0,1.0
7,lambda3,period2,0.6477870516037633,0.6611092892817984,0.05976766817943054,1.0,0.00023945828665104197,0.6611092892817984,18.829050276304763,0.009487579331685899,37.658100552609525,0.0035952000596982106,100.0,0.5
7,lambda3,random_pair,0.6664941339850485,0.6799560175172772,0.06299495887452113,1.0,0.0002627269626442333,0.6799560175172772,17.998052040560466,0.009487579331685899,35.99610408112093,0.003711577237898416,100.0,0.5
7,lambda3,entropy,0.4041547478977692,0.41674485953502244,0.04699202642620663,1.0,0.00025874904893076456,0.5896221978804538,11.060812998860861,0.009487579331685899,29.348118195166585,0.0028437832566365873,100.0,0.3768832102046834
0,lambda4,analytic,0.004547585416193801,0.0063335984358828205,0.025014282310672757,1.0,0.00021300679662961694,0.0063335984358828205,0.0,0.0011369144976924872,16.258886272580085,0.00043609172536691524,100.0,0.0
0,lambda4,neural,0.4220208070719733,0.4319580708834076,0.020278715368349815,1.0,6.740677517812473e-05,0.4319580708834076,12.917252007949601,0.009474599990519495,12.917252007949601,0.00039525704573671556,100.0,1.0
0,lambda4,period2,0.22469733101881675,0.2355704932775187,0.018944410291907188,1.0,0.0002473922950156998,0.2355704932775187,6.689004563824572,0.009487579331685899,12.533506845736857,0.0011381906320003378,100.0,0.5336897842043121
0,lambda4,random_pair,0.3774562062363748,0.38917842867527663,0.03282258644224322,1.0,0.0002407476523792405,0.38917842867527663,10.911515973385999,0.009487579331685899,20.978529664859714,0.0019938954548366535,100.0,0.5201277757641632
0,lambda4,entropy,0.20536206179850827,0.21761155987780065,0.0444578829247092,1.0,0.00022339160557079027,0.3904888982232321,5.291985469400245,0.009487579331685899,20.83958154518208,0.0025385271420356875,100.0,0.2539391425843531
1,lambda4,analytic,0.015505575670041604,0.018094043123973207,0.07814986973890202,1.0,0.00010236183751662138,0.018094043123973207,0.0,0.0011369144976924872,52.44926333827496,0.0013491911187224958,100.0,0.0
1,lambda4,neural,1.9992928798052583,2.0108394215270895,0.10363424090821459,1.0,6.738822367861263e-05,2.0108394215270895,59.68832434624647,0.009474599990519495,59.68832434624647,0.002004553507633368,100.0,1.0
1,lambda4,period2,1.3517522924482714,1.3689655121739384,0.13140886481080974,1.0,0.00022606013190383658,1.3689655121739384,36.81482830641084,0.009487579331685899,72.75041730098998,0.007499580262077133,100.0,0.5060428472059069
1,lambda4,random_pair,1.4066303075210116,1.4249990854850816,0.14013012202260192,1.0,0.0002551555402769476,1.4249990854850816,37.65933058832312,0.009487579331685899,76.12842642863912,0.008626043092106829,100.0,0.49468158419935343
1,lambda4,entropy,1.2213611887528764,1.2384187043104922,0.12311056986311081,1.0,0.0002769355887084091,1.4112960426559238,34.02161265282804,0.009487579331685899,72.95883948050643,0.007293000637221324,100.0,0.46631241526145895
2,lambda4,analytic,0.028273597557045362,0.03191348112665724,0.138061986070217,1.0,9.454259625158594e-05,0.03191348112665724,0.0,0.0011369144976924872,90.50151481955805,0.002408426475667802,100.0,0.0
2,lambda4,neural,1.286776108371316,1.297595383179055,0.0653846168026425,1.0,6.663245944710271e-05,1.297595383179055,38.38389471733296,0.009474599990519495,38.38389471733296,0.0012780423577722912,100.0,1.0
2,lambda4,period2,0.4016111427347441,0.4135186912899523,0.037287221455736215,1.0,0.0002516810934168395,0.4135186912899523,11.721281225378878,0.009487579331685899,23.32180176258945,0.002168288130105451,100.0,0.5025890085465442
2,lambda4,random_pair,0.42892808426219353,0.44110411360673163,0.041471438242111844,1.0,0.00024079413603061436,0.44110411360673163,11.686544195459469,0.009487579331685899,23.25232770275063,0.002447655876821588,100.0,0.5025967440703586
2,lambda4,entropy,0.42717116935940264,0.44014838976400594,0.055448634024997515,1.0,0.00024829528600263785,0.6130257281094372,12.134027382947428,0.009487579331685899,35.005885589683814,0.00324134578691478,100.0,0.3466282077583922
3,lambda4,analytic,0.04929364542933201,0.05454652159426171,0.23426707324028612,1.0,9.788305548656898e-05,0.05454652159426171,0.0,0.0011369144976924872,153.742363215749,0.004018078611750641,100.0,0.0
3,lambda4,neural,5.912592207966723,5.9279888508947804,0.3115881951063576,1.0,6.962911070282413e-05,5.9279888508947804,177.97404311862522,0.009474599990519495,177.97404311862522,0.005852413826834963,100.0,1.0
3,lambda4,period2,4.163918389148655,4.198031984128581,0.40647188939727635,1.0,0.00023558636607061144,4.198031984128581,117.35518559478511,0.009487579331685899,234.67563415965083,0.024390429282168485,100.0,0.5000740107298395
3,lambda4,random_pair,2.62034973904035,2.6451703241181805,0.2521266534781163,1.0,0.00026941875818217395,2.6451703241181805,74.25083218733914,0.009487579331685899,148.53640140459768,0.01506358698796238,100.0,0.4998830689662907
3,lambda4,entropy,4.111692034156791,4.145839837576386,0.39976324707329314,1.0,0.00022943953697314922,4.318717175921816,116.81921838068315,0.009487579331685899,234.81458227932845,0.024430784550935326,100.0,0.49749558671666516
