arm,seed,mode,size,original_success,zero_success,success_difference,assigned_pairs,original_only_success,zero_only_success
fast_selective,127,intact,17,0.546875,0.546875,0.0,128,0,0
fast_selective,127,intact,23,0.4921875,0.4921875,0.0,128,0,0
fast_selective,127,native_start,11,0.515625,0.515625,0.0,128,0,0
fast_selective,127,native_start,17,0.546875,0.546875,0.0,128,0,0
fast_selective,127,native_start,23,0.4921875,0.4921875,0.0,128,0,0
fast_selective,127,reset_all,11,0.515625,0.515625,0.0,128,0,0
fast_selective,127,reset_all,17,0.546875,0.546875,0.0,128,0,0
fast_selective,127,reset_all,23,0.4921875,0.4921875,0.0,128,0,0
fast_selective,127,reset_store,11,0.515625,0.515625,0.0,128,0,0
fast_selective,127,reset_store,17,0.546875,0.546875,0.0,128,0,0
fast_selective,127,reset_store,23,0.4921875,0.4921875,0.0,128,0,0
feedforward,101,cue_swapped,11,0.0,0.515625,0.515625,128,0,66
feedforward,101,cue_swapped,17,0.0,0.546875,0.546875,128,0,70
feedforward,101,cue_swapped,23,0.0,0.4921875,0.4921875,128,0,63
feedforward,101,intact,11,0.0,0.515625,0.515625,128,0,66
feedforward,101,intact,17,0.0,0.546875,0.546875,128,0,70
feedforward,101,intact,23,0.0,0.4921875,0.4921875,128,0,63
feedforward,101,native_start,11,0.0,0.515625,0.515625,128,0,66
feedforward,101,native_start,17,0.0,0.546875,0.546875,128,0,70
feedforward,101,native_start,23,0.0,0.4921875,0.4921875,128,0,63
feedforward,101,reset_all,11,0.0,0.515625,0.515625,128,0,66
feedforward,101,reset_all,17,0.0,0.546875,0.546875,128,0,70
feedforward,101,reset_all,23,0.0,0.4921875,0.4921875,128,0,63
feedforward,113,cue_swapped,11,0.0,0.484375,0.484375,128,0,62
feedforward,113,cue_swapped,17,0.0,0.453125,0.453125,128,0,58
feedforward,113,cue_swapped,23,0.0,0.5078125,0.5078125,128,0,65
feedforward,113,intact,11,0.0,0.484375,0.484375,128,0,62
feedforward,113,intact,17,0.0,0.453125,0.453125,128,0,58
feedforward,113,intact,23,0.0,0.5078125,0.5078125,128,0,65
feedforward,113,native_start,11,0.0,0.484375,0.484375,128,0,62
feedforward,113,native_start,17,0.0,0.453125,0.453125,128,0,58
feedforward,113,native_start,23,0.0,0.5078125,0.5078125,128,0,65
feedforward,113,reset_all,11,0.0,0.484375,0.484375,128,0,62
feedforward,113,reset_all,17,0.0,0.453125,0.453125,128,0,58
feedforward,113,reset_all,23,0.0,0.5078125,0.5078125,128,0,65
feedforward,127,cue_swapped,11,0.0,0.515625,0.515625,128,0,66
feedforward,127,cue_swapped,17,0.0,0.546875,0.546875,128,0,70
feedforward,127,cue_swapped,23,0.0,0.4921875,0.4921875,128,0,63
feedforward,127,intact,11,0.0,0.515625,0.515625,128,0,66
feedforward,127,intact,17,0.0,0.546875,0.546875,128,0,70
feedforward,127,intact,23,0.0,0.4921875,0.4921875,128,0,63
feedforward,127,native_start,11,0.0,0.515625,0.515625,128,0,66
feedforward,127,native_start,17,0.0,0.546875,0.546875,128,0,70
feedforward,127,native_start,23,0.0,0.4921875,0.4921875,128,0,63
feedforward,127,reset_all,11,0.0,0.515625,0.515625,128,0,66
feedforward,127,reset_all,17,0.0,0.546875,0.546875,128,0,70
feedforward,127,reset_all,23,0.0,0.4921875,0.4921875,128,0,63
gru,101,cue_swapped,11,0.0,0.0,0.0,128,0,0
gru,101,cue_swapped,17,0.0,0.0,0.0,128,0,0
gru,101,cue_swapped,23,0.0,0.0,0.0,128,0,0
gru,101,intact,11,0.0,0.0,0.0,128,0,0
gru,101,intact,17,0.0,0.0,0.0,128,0,0
gru,101,intact,23,0.0,0.0,0.0,128,0,0
gru,101,native_start,11,0.0,0.0,0.0,128,0,0
gru,101,native_start,17,0.0,0.0,0.0,128,0,0
gru,101,native_start,23,0.0,0.0,0.0,128,0,0
gru,101,reset_all,11,0.0,0.0,0.0,128,0,0
gru,101,reset_all,17,0.0,0.0,0.0,128,0,0
gru,101,reset_all,23,0.0,0.0,0.0,128,0,0
gru,113,cue_swapped,11,0.515625,0.0,-0.515625,128,66,0
gru,113,cue_swapped,17,0.546875,0.0,-0.546875,128,70,0
gru,113,cue_swapped,23,0.4921875,0.0,-0.4921875,128,63,0
gru,113,intact,11,0.515625,0.0,-0.515625,128,66,0
gru,113,intact,17,0.546875,0.0,-0.546875,128,70,0
gru,113,intact,23,0.4921875,0.0,-0.4921875,128,63,0
gru,113,native_start,11,0.515625,0.0,-0.515625,128,66,0
gru,113,native_start,17,0.546875,0.0,-0.546875,128,70,0
gru,113,native_start,23,0.4921875,0.0,-0.4921875,128,63,0
gru,113,reset_all,11,0.515625,0.0,-0.515625,128,66,0
gru,113,reset_all,17,0.546875,0.0,-0.546875,128,70,0
gru,113,reset_all,23,0.4921875,0.0,-0.4921875,128,63,0
gru,127,cue_swapped,11,0.515625,0.515625,0.0,128,0,0
gru,127,cue_swapped,17,0.546875,0.546875,0.0,128,0,0
gru,127,cue_swapped,23,0.4921875,0.4921875,0.0,128,0,0
gru,127,intact,11,0.515625,0.515625,0.0,128,0,0
gru,127,intact,17,0.546875,0.546875,0.0,128,0,0
gru,127,intact,23,0.4921875,0.4921875,0.0,128,0,0
gru,127,native_start,11,0.515625,0.515625,0.0,128,0,0
gru,127,native_start,17,0.546875,0.546875,0.0,128,0,0
gru,127,native_start,23,0.4921875,0.4921875,0.0,128,0,0
gru,127,reset_all,11,0.515625,0.515625,0.0,128,0,0
gru,127,reset_all,17,0.546875,0.546875,0.0,128,0,0
gru,127,reset_all,23,0.4921875,0.4921875,0.0,128,0,0
