time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss
1,7.56090909090909,2,86.72727272727273,1024,396,,,,,,,,,,
2,7.712608695652174,5,88.0,2048,389,0.21611981093883514,0.2,0.8439144488424063,-0.6823203150182963,0.09695100784301758,0.014482634,0.0003,0.10185546875,10,-0.010445981158409268
3,7.880294117647058,8,90.11764705882354,3072,367,0.2571295201778412,0.2,0.5747022550553084,-0.6704625576734543,0.6828705072402954,0.00750638,0.0003,0.00302734375,20,-0.0009829376591369509
4,7.802666666666665,11,90.64444444444445,4096,368,0.15569207072257996,0.2,0.4015171625651419,-0.6412053681910038,0.885395348072052,0.00663812,0.0003,0.00625,30,-0.0014789019391173498
5,7.616785714285713,13,89.73214285714286,5120,373,0.11772610992193222,0.2,0.2723391218110919,-0.6139544915407896,0.9316946268081665,0.0020051235,0.0003,0.001953125,40,-0.0013219443149864673
6,7.584999999999998,16,90.07352941176471,6144,375,0.23596926033496857,0.2,0.633958439156413,-0.6438890859484673,0.8932177424430847,0.003531688,0.0003,0.02685546875,50,-0.0026086259545991196
7,7.37320987654321,19,88.18518518518519,7168,373,0.16591167449951172,0.2,0.43389677386730907,-0.620592699944973,0.9283760786056519,0.00760758,0.0003,0.02431640625,60,-0.003726676121004857
8,7.253617021276596,21,86.76595744680851,8192,372,0.2567407190799713,0.2,0.5666712304577232,-0.6382709592580795,0.8974953293800354,0.0035741583,0.0003,0.06591796875,70,-0.0056879308074712755
9,7.1370000000000005,24,85.61,9216,372,0.1873026043176651,0.2,0.37833671923726797,-0.6600020911544562,0.9272631406784058,0.011542044,0.0003,0.09609375,80,-0.007772074735839851
10,7.145300000000001,27,85.54,10240,372,0.20151904225349426,0.2,0.6045374458655715,-0.6511241633445024,0.8597018718719482,0.00803334,0.0003,0.027734375,90,-0.003786963253514841
11,6.958399999999999,30,84.59,11264,373,0.34136736392974854,0.2,0.5796926265582443,-0.6419049456715584,0.8839518427848816,0.0024174915,0.0003,0.01591796875,100,-0.00280812886194326
12,6.9815000000000005,32,85.45,12288,373,0.2688143253326416,0.2,0.8076312882825732,-0.6201458916068077,0.8276716470718384,0.0018811646,0.0003,0.0078125,110,-0.0013379890006035566
13,7.032600000000001,35,85.54,13312,371,0.11094508320093155,0.2,0.3346619626507163,-0.5908004220575094,0.9267950057983398,0.0044254567,0.0003,0.02109375,120,-0.0014562932046828791
14,7.102500000000001,38,85.88,14336,370,0.13180182874202728,0.2,0.4177338579669595,-0.5622216042131185,0.9151570796966553,0.005040145,0.0003,0.039453125,130,-0.004975026589818299
15,7.1728,41,86.11,15360,370,0.16410765051841736,0.2,0.3738043801859021,-0.5183303980156779,0.9353741407394409,0.0056119543,0.0003,0.0279296875,140,-0.004222614588798024
16,7.2956,44,86.91,16384,371,0.14627407491207123,0.2,0.37957243621349335,-0.49103315360844135,0.9356331825256348,0.0011863413,0.0003,0.00302734375,150,-0.0004409006971400231
17,7.523800000000001,46,89.19,17408,373,0.10424841940402985,0.2,0.34304523477330806,-0.5080189183354378,0.9394233226776123,0.002508806,0.0003,0.01533203125,160,-0.0018094076629495248
18,7.715400000000002,49,91.48,18432,376,0.18495382368564606,0.2,0.46831951290369034,-0.5106242900714278,0.9242166876792908,0.003679041,0.0003,0.01748046875,170,-0.0022419752553105355
19,7.680599999999998,51,92.53,19456,377,0.10583031177520752,0.2,0.29578838450834155,-0.5198471715673805,0.9540127515792847,0.0028747912,0.0003,0.0236328125,180,-0.003950934746535495
20,7.6869000000000005,54,91.98,20480,376,0.1527683436870575,0.2,0.37077290993183853,-0.5273782581090927,0.9343729615211487,0.008397242,0.0003,0.0544921875,190,-0.007538300676969811
21,7.5805,57,89.06,21504,375,0.2736383378505707,0.2,0.5439774125814438,-0.515692999213934,0.8834487795829773,0.003699005,0.0003,0.028515625,200,-0.002874184070969932
22,7.6293999999999995,59,89.37,22528,377,0.349254846572876,0.2,0.6844537505879998,-0.5583237424492836,0.8595694303512573,0.0071782214,0.0003,0.06279296875,210,-0.006589097065443639
23,7.619799999999998,62,88.98,23552,376,0.14072060585021973,0.2,0.4617224487476051,-0.5561864037066698,0.9161416888237,0.0017023559,0.0003,0.02919921875,220,-0.0015747593075502663
24,7.721300000000001,65,90.14,24576,375,0.3948334753513336,0.2,0.6644394500181079,-0.533252084068954,0.8751180171966553,0.002699711,0.0003,0.02119140625,230,-0.001355017742025666
25,7.924100000000001,67,91.38,25600,377,0.18188676238059998,0.2,0.47781234309077264,-0.5510128363966942,0.9178743362426758,0.0021761633,0.0003,0.03583984375,240,-0.0025626681424910204
26,7.667700000000001,70,89.41,26624,377,0.18692350387573242,0.2,0.42055035857483747,-0.5457520730793476,0.9255369305610657,0.004329313,0.0003,0.02578125,250,-0.003979132464155555
27,7.8104000000000005,72,88.85,27648,379,0.146278977394104,0.2,0.5845159726217389,-0.5256754478439689,0.910757839679718,0.0055014207,0.0003,0.0423828125,260,-0.0027530601975740863
28,7.9664,75,88.72,28672,380,0.16517117619514465,0.2,0.3923151303082705,-0.5630663096904754,0.9417443871498108,0.0034029798,0.0003,0.07294921875,270,-0.006566318706609309
29,8.2592,77,91.23,29696,381,0.2943851947784424,0.2,0.7077580619603395,-0.5600695792585612,0.8713070154190063,0.006019759,0.0003,0.03701171875,280,-0.003339719434734434
30,8.499600000000001,80,93.05,30720,382,0.09622300416231155,0.2,0.285287921782583,-0.5366464514285326,0.951155960559845,0.005676151,0.0003,0.02470703125,290,-0.0013095927875838242
31,8.683300000000001,82,94.14,31744,382,0.2539953589439392,0.2,0.4816019533202052,-0.5379992308095097,0.920317530632019,0.0063425004,0.0003,0.05107421875,300,-0.00451204726123251
32,8.587100000000001,85,93.53,32768,382,0.19107672572135925,0.2,0.4510233964771032,-0.5056710755452514,0.9323302507400513,0.0057080463,0.0003,0.03837890625,310,-0.005306941375602036
