baseline_family,candidate_family,contrast,group,scope,seeds,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001;285000002;285000003,36,10333.0,34.0,10333.0,34.0,0.9444444444444443,CC,0.598685098778867,0.045824381003440016,0.0,0.0,0.0001256267538471,0.019333754531157443,0.026364999718435474,0.0,0.598685098778867,0.042661545494167064,0.0,0.0,0.0002496619114935625,0.019334753812111118,0.023077129770562383,0.0,0.0,-0.0031628355092729525,0.0,0.0,0.00012403515764646258,9.992809536748802e-07,-0.003287869947873089,0.0,0.598685098778867,5763.0,0.47397105881391016,0.28375941016433,0.598685098778867,5763.0
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001;285000002;285000003,36,10333.0,34.0,10333.0,34.0,0.9444444444444443,CW,0.05595850923251736,0.003077362051477493,0.0,0.0,2.420807197188149e-07,0.0014510240519149235,0.0016260959188428507,0.0,0.0,0.0048153798874295195,0.0,0.05595850923251736,1.4070832899205324e-07,0.0026431548556429423,0.0021720843234575857,0.014919659135817201,-0.05595850923251736,0.0017380178359520267,0.0,0.05595850923251736,-1.0137239072676164e-07,0.0011921308037280186,0.0005459884046147348,0.014919659135817201,0.05595850923251736,495.6666666666667,0.23786840128244274,0.013310761129287717,0.05595850923251736,495.6666666666667
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001;285000002;285000003,36,10333.0,34.0,10333.0,34.0,0.9444444444444443,WC,0.0,0.008446115315917145,0.0,0.06725560177910807,5.535229032159104e-06,0.004968693317875244,0.003471886769009743,0.026192790497747576,0.06725560177910807,0.006023614076323756,0.0,0.0,1.569664751832319e-05,0.0026899421543977657,0.0033179752744076675,0.0,0.06725560177910807,-0.0024225012395933895,0.0,-0.06725560177910807,1.0161418486164086e-05,-0.0022787511634774784,-0.00015391149460207578,-0.026192790497747576,0.06725560177910807,344.6666666666667,0.32417552933055865,0.02180262030718762,0.06725560177910807,344.6666666666667
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001;285000002;285000003,36,10333.0,34.0,10333.0,34.0,0.9444444444444443,WW,0.0,0.04963781925431838,0.0,0.22254523465395193,6.351376650539247e-06,0.03759804322778585,0.012033424649881988,0.07963289639092111,0.0,0.042448298020799545,0.0,0.22254523465395193,6.621350645053871e-07,0.02953386577279787,0.01291377011293717,0.07771291157155033,0.0,-0.007189521233518836,0.0,0.0,-5.6892415860338605e-06,-0.008064177454987985,0.000880345463055183,-0.001919984819370785,0.22254523465395193,3729.6666666666665,0.2600480805484458,0.05787246110696367,0.22254523465395193,3729.6666666666665
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001;285000002;285000003,18,6807.0,18.0,6807.0,18.0,1.0,CC,0.6472675709384522,0.0558501916885932,0.0,0.0,0.00012775236876858665,0.021304381968805644,0.03441805735101896,0.0,0.6472675709384522,0.04999659057447356,0.0,0.0,0.00028598729618826876,0.02110384857677247,0.02860675470151282,0.0,0.0,-0.005853601114119637,0.0,0.0,0.0001582349274196821,-0.00020053339203317507,-0.005811302649506143,0.0,0.6472675709384522,3618.0,0.5138590097694267,0.3326042730582952,0.6472675709384522,3618.0
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001;285000002;285000003,18,6807.0,18.0,6807.0,18.0,1.0,CW,0.06296659660797606,0.004168341986240372,0.0,0.0,2.8523964223256163e-07,0.0018302764738293504,0.002337780272768789,0.0,0.0,0.0058792401013225935,0.0,0.06296659660797606,2.2518304416435244e-07,0.0031377455959872343,0.0027412693222911943,0.015286909556385404,-0.06296659660797606,0.001710898115082221,0.0,0.06296659660797606,-6.005659806820913e-08,0.001307469122157884,0.00040348904952240537,0.015286909556385404,0.06296659660797606,316.3333333333333,0.2281065883779983,0.01436309553401906,0.06296659660797606,316.3333333333333
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001;285000002;285000003,18,6807.0,18.0,6807.0,18.0,1.0,WC,0.0,0.009448082584176445,0.0,0.06980469092796904,2.3697481739709332e-06,0.00598441944965617,0.003461293386346303,0.028933736262734735,0.06980469092796904,0.005431521577132402,0.0,0.0,3.566072258402789e-08,0.002576050994485983,0.002855434921923834,0.0,0.06980469092796904,-0.004016561007044043,0.0,-0.06980469092796904,-2.3340874513869053e-06,-0.0034083684551701877,-0.0006058584644224685,-0.028933736262734735,0.06980469092796904,167.66666666666666,0.3731718947611833,0.026049148776808986,0.06980469092796904,167.66666666666666
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001;285000002;285000003,18,6807.0,18.0,6807.0,18.0,1.0,WW,0.0,0.06666341488417764,0.0,0.21996114152560264,7.135589038880876e-06,0.052385366204029234,0.014270913091109528,0.09063597207270047,0.0,0.05436674941889566,0.0,0.21996114152560264,5.942834828445694e-07,0.03939540133185639,0.014970753803556428,0.08967024954427427,0.0,-0.012296665465281985,0.0,0.0,-6.541305556036307e-06,-0.012989964872172848,0.000699840712446902,-0.0009657225284261968,0.21996114152560264,2705.0,0.289030786424279,0.06357554171792706,0.21996114152560264,2705.0
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,285000001;285000002;285000003,6,103.0,6.0,103.0,6.0,1.0,CC,0.694576155102471,0.03512886489061737,0.0,0.0,0.00015748615826257487,0.014909964952845231,0.020061413779509558,0.0,0.694576155102471,0.03005705311248566,0.0,0.0,0.0003462633256374194,0.014019334766083564,0.015691455020764678,0.0,0.0,-0.005071811778131703,0.0,0.0,0.00018877716737484448,-0.0008906301867616668,-0.0043699587587448805,0.0,0.694576155102471,72.33333333333333,0.3588687678618231,0.24926168896782627,0.694576155102471,72.33333333333333
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,285000001;285000002;285000003,6,103.0,6.0,103.0,6.0,1.0,CW,0.09884631595157911,0.0035742289448359634,0.0,0.0,0.0,0.001809506321364216,0.0017647226234717474,0.0,0.0,0.006971843901324822,0.0,0.09884631595157911,0.0,0.0038422103172855294,0.0031296335840392923,0.020834511458258504,-0.09884631595157911,0.003397614956488859,0.0,0.09884631595157911,0.0,0.0020327039959213136,0.001364910960567545,0.020834511458258504,0.09884631595157911,5.333333333333333,0.20132471626618978,0.019900206512909812,0.09884631595157911,5.333333333333333
