baseline_family,candidate_family,contrast,group,normalization_scope,phase,seed,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001,36,10333,34,96,34,0.30419548994143747,CC,0.242182062138286,0.006670925101981664,0.0,0.0,0.0002531734683714537,0.0031588371945033573,0.0032589144391068532,0.0,0.242182062138286,0.006671633671330438,0.0,0.0,0.00033926514921941135,0.0028947926864533,0.003437575835657727,0.0,0.0,7.085693487734945e-07,0.0,0.0,8.609168084795763e-05,-0.00026404450805005776,0.0001786613965508737,0.0,0.242182062138286,62,0.28162211176342294,0.06820382377060462,0.242182062138286,62
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001,36,10333,34,96,34,0.30419548994143747,CW,0.002382524206107387,3.827379656730197e-05,0.0,0.0,1.7706251855769983e-07,2.3466463026864577e-05,1.46302710218797e-05,0.0,0.0,0.00010022300790614303,0.0,0.002382524206107387,8.050900947580988e-08,3.818805826943102e-05,6.19544406272362e-05,0.00013101050070623738,-0.002382524206107387,6.194921133884107e-05,0.0,0.002382524206107387,-9.655350908188994e-08,1.4721595242566447e-05,4.73241696053565e-05,0.00013101050070623738,0.002382524206107387,6,0.05498810898558921,0.00013101050070623738,0.002382524206107387,6
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001,36,10333,34,96,34,0.30419548994143747,WC,0.0,0.0036160047927968056,0.0,0.030948303404212642,2.1012574111456887e-09,0.0030660583090718206,0.0005499443824675743,0.013796221266080967,0.030948303404212642,0.0021053013461431774,0.0,0.0,8.128204865820923e-11,0.0010446051515940035,0.0010606961132671251,0.0,0.030948303404212642,-0.0015107034466536285,0.0,-0.030948303404212642,-2.0199753624874796e-09,-0.0020214531574778167,0.0005107517307995507,-0.013796221266080967,0.030948303404212642,12,0.4336892050045035,0.01342194509961115,0.030948303404212642,12
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001,36,10333,34,96,34,0.30419548994143747,WW,0.0,0.0007571457096405621,0.0,0.028682600192831437,1.0562497949074946e-05,0.0005444214472517582,0.000202161764439729,0.004365260683124271,0.0,0.0005196259590658865,0.0,0.028682600192831437,6.911293611704614e-07,0.0003134545778193748,0.00020548025188534122,0.004365260618551563,0.0,-0.00023751975057467565,0.0,0.0,-9.871368587904484e-06,-0.00023096686943238339,3.318487445612202e-06,-6.457270745521765e-11,0.028682600192831437,16,0.1372383347588177,0.003936352287017129,0.028682600192831437,16
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001,18,6807,18,52,18,0.32985009555390365,CC,0.26992751133211157,0.0095394261084197,0.0,0.0,0.0002658586834206654,0.003674643476549803,0.005598923948449231,0.0,0.26992751133211157,0.01057576942711791,0.0,0.0,0.00035455410700407095,0.0041090113611417095,0.00611220395897213,0.0,0.0,0.00103634331869821,0.0,0.0,8.869542358340551e-05,0.0004343678845919062,0.0005132800105228986,0.0,0.26992751133211157,35,0.2962030540424957,0.0799533532266618,0.26992751133211157,35
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001,18,6807,18,52,18,0.32985009555390365,CW,0.00013541878258514458,3.3933063976969302e-06,0.0,0.0,3.5412503711539967e-07,2.9796047171998823e-06,5.957664338164849e-08,0.0,0.0,3.74369117601632e-06,0.0,0.00013541878258514458,1.6101801895161976e-07,3.4310683804185746e-06,1.5160477664612533e-07,3.550569063050139e-05,-0.00013541878258514458,3.5038477831938967e-07,0.0,0.00013541878258514458,-1.9310701816377988e-07,4.5146366321869236e-07,9.202813326447684e-08,3.550569063050139e-05,0.00013541878258514458,4,0.26219177246093744,3.550569063050139e-05,0.00013541878258514458,4
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001,18,6807,18,52,18,0.32985009555390365,WC,0.0,0.007116519850377867,0.0,0.053224407886199476,4.202514822291377e-09,0.006056669293947856,0.0010598463539151872,0.026996920620437646,0.053224407886199476,0.004184194163094767,0.0,0.0,1.6256409731641846e-10,0.002074100946798446,0.002110093053732224,0.0,0.053224407886199476,-0.002932325687283099,0.0,-0.053224407886199476,-4.039950724974959e-09,-0.0039825683471494105,0.0010502466998170367,-0.026996920620437646,0.053224407886199476,8,0.4931642385079893,0.026248374585236184,0.053224407886199476,8
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001,18,6807,18,52,18,0.32985009555390365,WW,0.0,0.0002736104829899332,0.0,0.0065627575530074,2.1124995898149893e-05,0.0002151229707337388,3.73625163580445e-05,0.0012672876419142606,0.0,0.0001920346348816493,0.0,0.0065627575530074,1.3822587223409228e-06,0.000162583982002302,2.8068394157006384e-05,0.0012672876419142606,0.0,-8.157584810828387e-05,0.0,0.0,-1.9742737175808967e-05,-5.2538988731436796e-05,-9.294122201038106e-06,0.0,0.0065627575530074,5,0.19208382482321676,0.0012605995721691162,0.0065627575530074,5
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,initial,285000001,6,103,6,16,6,0.5109831491410438,CC,0.4423760805339753,0.01581803264776529,0.0,0.0,0.0003386698345787765,0.005727180882126583,0.00975218193105993,0.0,0.4423760805339753,0.016287320150386166,0.0,0.0,0.0005141981371778666,0.00612581449923813,0.009647307513970171,0.0,0.0,0.00046928750262087795,0.0,0.0,0.00017552830259909,0.00039863361711154683,-0.00010487441708975871,0.0,0.4423760805339753,12,0.23813704141501635,0.10534613101113188,0.4423760805339753,12
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,initial,285000001,6,103,6,16,6,0.5109831491410438,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
